time,bearingAccuracy,speedAccuracy,verticalAccuracy,horizontalAccuracy,speed,bearing,altitude,longitude,latitude
-0.719000244140625,0,0.8133623600006104,10.988654136657717,53.5369987487793,0.0,0.0,43.400001525878906,-122.7536587,49.187778
-0.694273193359375,0,0.0,10.988654136657717,32.72800064086914,1.1544636487960815,137.3963623046875,43.400001525878906,-122.7534572,49.1875647
5.16251513671875,180,0.5877952575683594,3.2966487407684326,46.41999816894531,1.515839695930481,135.3850555419922,43.400001525878906,-122.7533534,49.1874985
5.995,180,0.5877952575683594,3.117614984512329,34.696998596191406,1.9294345378875732,135.50204467773438,43.400001525878906,-122.753299,49.1874538
6.278173095703125,0,0.0,2.552767038345337,30.99799919128418,1.1888350248336792,175.4485321044922,43.400001525878906,-122.75331,49.1874503
6.90101318359375,0,0.0,2.552767038345337,27.906999588012695,1.627045512199402,239.94178771972656,43.400001525878906,-122.7533347,49.1874442
7.4200654296875,0,0.0,2.521848201751709,26.3799991607666,1.8507930040359497,251.09327697753903,43.400001525878906,-122.7533391,49.1874437
7.93909521484375,0,0.0,2.521848201751709,25.760000228881836,1.8933935165405271,255.25405883789065,43.400001525878906,-122.7533417,49.1874434
8.45815234375,0,0.0,2.4855406284332275,22.663000106811523,1.9858920574188232,249.56008911132812,43.400001525878906,-122.7533382,49.1874355
8.977183837890625,0,0.0,2.4855406284332275,20.68600082397461,2.037931442260742,241.13082885742188,43.400001525878906,-122.7533382,49.1874281
9.565058349609377,0,0.0,2.2491018772125244,16.665000915527344,2.135788679122925,225.977294921875,43.400001525878906,-122.7533279,49.1874134
10.084100341796876,0,0.0,2.2491018772125244,15.055999755859377,2.117440700531006,222.3876953125,43.400001525878906,-122.7533257,49.1874079
10.58799462890625,0,0.0,2.456617832183838,15.503000259399414,2.123421430587769,216.1633453369141,43.400001525878906,-122.7533177,49.1873998
11.12218798828125,0,0.0,2.931364059448242,16.503000259399414,2.1750519275665283,208.8399658203125,43.400001525878906,-122.7533093,49.1873861
11.641231689453123,0,0.0,3.437107801437378,16.70599937438965,2.188352108001709,202.31130981445312,43.400001525878906,-122.7532935,49.1873707
12.160276611328126,0,0.0,3.437107801437378,16.687999725341797,2.1699628829956055,199.70379638671875,43.400001525878906,-122.7532848,49.1873627
12.6793095703125,0,0.0,3.9121713638305664,16.68400001525879,2.0540578365325928,191.9163818359375,43.400001525878906,-122.753259,49.1873539
13.19835986328125,0,0.0,3.710348129272461,16.660999298095703,1.9115893840789795,181.5656280517578,43.400001525878906,-122.7532278,49.1873479
13.71741064453125,0,0.0,3.710348129272461,16.81800079345703,1.8221782445907593,172.17913818359375,43.400001525878906,-122.7532,49.1873431
14.2364580078125,0,0.0,3.3009603023529053,17.020999908447266,1.760629177093506,163.59103393554688,43.400001525878906,-122.7531732,49.1873406
14.755499755859375,0,0.0,3.3009603023529053,17.46500015258789,1.751773476600647,155.46778869628906,43.400001525878906,-122.7531477,49.1873357
15.25690478515625,0,0.0,3.3725318908691406,17.975000381469727,1.7907196283340454,148.07119750976562,43.400001525878906,-122.7531261,49.1873347
15.79358984375,0,0.0,3.3725318908691406,18.239999771118164,1.8305284976959229,141.8506622314453,43.400001525878906,-122.7530979,49.187332
16.30614990234375,0,0.0,2.926908493041992,18.229999542236328,1.8640501499176023,136.6751708984375,43.400001525878906,-122.7530734,49.1873344
16.8316708984375,0,0.0,2.9300947189331055,18.375999450683594,1.918529748916626,130.18710327148438,43.400001525878906,-122.7530378,49.1873365
17.35071826171875,0,0.0,2.95086932182312,19.15800094604492,1.972163200378418,124.6530990600586,43.400001525878906,-122.753,49.1873403
17.86977099609375,0,0.0,2.95086932182312,19.249000549316406,1.9883850812911987,122.8691177368164,43.400001525878906,-122.7529844,49.1873422
18.388816650390623,0,0.0,3.156245708465576,19.437999725341797,2.0159542560577393,119.49906158447266,43.400001525878906,-122.7529614,49.1873481
18.90785888671875,0,0.0,3.156245708465576,19.506000518798828,2.0213749408721924,117.60067749023438,43.400001525878906,-122.7529376,49.1873483
19.426907470703124,0,0.0,3.4868197441101074,19.423999786376953,2.028245687484741,114.0528335571289,43.400001525878906,-122.7529174,49.1873565
19.945944580078127,0,0.0,3.4868197441101074,18.875,2.0290627479553223,110.5343246459961,43.400001525878906,-122.75289,49.1873626
20.46498315429687,0,0.0,3.7709245681762695,20.525999069213867,0.6272493004798889,177.1468963623047,43.400001525878906,-122.7529307,49.1873658
20.98404296875,0,0.0,3.7709245681762695,25.072999954223633,0.5686076879501343,179.40875244140625,43.400001525878906,-122.7529293,49.1873642
22.00823120117187,0,0.0,3.616227388381958,26.788000106811523,0.4383761882781982,178.1781768798828,43.400001525878906,-122.7528539,49.1873913
22.54117529296875,0,0.0,3.385540008544922,25.14299964904785,0.1984998285770416,165.39402770996094,43.400001525878906,-122.7527367,49.1874428
23.06180029296875,0,0.0,3.385540008544922,24.53700065612793,0.1316412985324859,150.06219482421875,43.400001525878906,-122.7527145,49.1874555
23.57926171875,0,0.0,3.3989033699035645,23.323999404907227,0.1019727364182472,78.85709381103516,43.400001525878906,-122.7526884,49.1874706
24.098312744140625,0,0.0,3.3989033699035645,21.597999572753903,0.1896016746759414,47.711639404296875,43.400001525878906,-122.7526719,49.1874814
24.617357177734377,0,0.0,3.142618417739868,21.458999633789062,0.2412134408950805,43.427730560302734,43.400001525878906,-122.752662,49.1874875
25.13640356445313,0,0.0,3.142618417739868,20.29400062561035,0.3452187478542328,39.35158920288086,43.400001525878906,-122.752647,49.1874975
