time,z,y,x
0.0798447265625,-43.17580032348633,-21.984399795532227,-13.505399703979492
0.089844482421875,-42.846397399902344,-22.15519905090332,-14.042200088500977
0.099844970703125,-42.846397399902344,-21.630599975585938,-13.798199653625488
0.10985498046875,-42.39500045776367,-20.739999771118164,-13.432199478149414
0.119837158203125,-42.187599182128906,-20.374000549316406,-13.297999382019045
0.12985498046875,-43.261199951171875,-20.325199127197266,-13.505399703979492
0.13984423828125,-43.005001068115234,-19.70299911499023,-13.151599884033203
0.149841552734375,-42.821998596191406,-19.434598922729492,-13.029600143432615
0.159855224609375,-42.01679992675781,-18.6294002532959,-13.297999382019045
0.16985498046875,-43.87120056152344,-18.87339973449707,-13.944600105285645
0.179862548828125,-44.38359832763672,-18.983200073242188,-14.054399490356444
0.18984423828125,-43.70039749145508,-18.702600479125977,-14.55459976196289
0.199855224609375,-43.70039749145508,-18.165800094604492,-13.89579963684082
0.20985498046875,-43.43199920654297,-17.982799530029297,-13.468799591064451
0.21984423828125,-43.98099899291992,-18.361000061035156,-14.225199699401855
0.2298564453125,-43.87120056152344,-18.348798751831055,-14.115399360656738
0.239854736328125,-44.273799896240234,-18.019399642944336,-13.993399620056152
0.24984423828125,-43.28559875488281,-17.470399856567383,-14.38379955291748
0.259854736328125,-45.5547981262207,-17.89739990234375,-14.810799598693848
0.26985498046875,-44.895999908447266,-17.604598999023438,-14.38379955291748
0.27984423828125,-44.44459915161133,-17.23859977722168,-14.151999473571776
0.289854736328125,-44.44459915161133,-17.23859977722168,-14.151999473571776
0.299854736328125,-44.34700012207031,-17.323999404907227,-14.151999473571776
0.30984814453125,-44.8838005065918,-17.61680030822754,-14.70099925994873
0.319843994140625,-44.72520065307617,-17.006799697875977,-15.176799774169922
0.32984423828125,-45.152198791503906,-17.17759895324707,-14.45699977874756
0.3398544921875,-44.39579772949219,-17.079999923706055,-14.774199485778809
0.34985498046875,-44.67639923095703,-17.26300048828125,-14.676599502563477
0.359854736328125,-44.481197357177734,-17.421600341796875,-14.688799858093262
0.369854736328125,-44.33480072021485,-17.336198806762695,-14.578999519348145
0.37984423828125,-43.6515998840332,-17.48259925842285,-14.481399536132812
0.389855224609375,-44.273799896240234,-17.067800521850586,-14.34719944000244
0.399855224609375,-44.60319900512695,-16.89699935913086,-14.335000038146973
0.409844482421875,-45.03020095825195,-17.17759895324707,-14.359399795532228
0.4198447265625,-45.31079864501953,-16.836000442504883,-14.444799423217772
0.4298505859375,-45.322998046875,-16.9335994720459,-14.76200008392334
0.439844970703125,-44.74959945678711,-17.092199325561523,-14.87179946899414
0.44984423828125,-44.60319900512695,-16.89699935913086,-14.335000038146973
0.459854736328125,-44.72520065307617,-17.006799697875977,-15.07919979095459
0.469854736328125,-45.530399322509766,-17.287399291992188,-14.883999824523926
0.479854736328125,-45.37179946899414,-17.104398727416992,-14.55459976196289
0.48985498046875,-44.908199310302734,-16.750598907470703,-14.957200050354004
0.499854736328125,-45.67679977416992,-16.945798873901367,-15.176799774169922
0.509848876953125,-44.77399826049805,-17.17759895324707,-14.664400100708008
0.519855224609375,-44.33480072021485,-17.433799743652344,-15.420799255371094
0.529844482421875,-44.639801025390625,-17.079999923706055,-14.45699977874756
0.53984423828125,-44.44459915161133,-16.82379913330078,-15.066999435424805
0.54985498046875,-44.04199981689453,-16.628599166870117,-14.639999389648438
0.559854736328125,-44.79840087890625,-17.26300048828125,-14.774199485778809
0.56984423828125,-45.274200439453125,-16.762800216674805,-15.066999435424805
0.579855224609375,-44.60319900512695,-17.006799697875977,-15.39639949798584
0.58985498046875,-44.87159729003906,-17.092199325561523,-14.87179946899414
0.59985302734375,-44.859397888183594,-16.469999313354492,-14.517999649047852
0.60985498046875,-44.834999084472656,-16.92140007019043,-15.066999435424805
0.619854736328125,-44.67639923095703,-17.26300048828125,-14.993800163269045
0.629856201171875,-44.895999908447266,-17.17759895324707,-14.774199485778809
0.6398447265625,-44.12739944458008,-17.506999969482422,-14.896200180053713
0.64985498046875,-44.31039810180664,-17.23859977722168,-14.566800117492676
0.659854736328125,-45.00579833984375,-17.189800262451172,-15.39639949798584
0.66985498046875,-43.456398010253906,-17.22640037536621,-14.786399841308594
0.679854736328125,-44.60319900512695,-17.421600341796875,-14.578999519348145
0.68985498046875,-43.94440078735352,-16.713998794555664,-14.749799728393556
0.69984423828125,-44.66419982910156,-17.27519989013672,-15.408599853515623
0.709855224609375,-44.11520004272461,-16.994600296020508,-15.28660011291504
0.719855224609375,-43.895599365234375,-17.067800521850586,-15.189000129699709
0.72984423828125,-45.481597900390625,-17.641199111938477,-15.530599594116213
0.73984423828125,-44.43239974975586,-17.25079917907715,-14.883999824523926
0.749845703125,-45.03020095825195,-16.762800216674805,-15.274399757385254
0.759836669921875,-44.81060028076172,-16.82379913330078,-14.859600067138672
0.76986083984375,-45.33519744873047,-17.031200408935547,-15.39639949798584
0.779855224609375,-44.32259750366211,-16.82379913330078,-15.274399757385254
0.7898515625,-44.578800201416016,-17.336198806762695,-14.469200134277344
0.799854736328125,-45.46939849853515,-17.55579948425293,-15.103599548339844
0.80985498046875,-44.73740005493164,-17.006799697875977,-14.87179946899414
0.819854736328125,-44.31039810180664,-16.726200103759766,-14.542399406433104
0.829842529296875,-44.542198181152344,-17.1653995513916,-14.45699977874756
0.83985302734375,-44.908199310302734,-17.27519989013672,-15.091400146484377
0.849851318359375,-45.75,-17.726598739624023,-15.018199920654297
0.8598447265625,-43.590599060058594,-17.21419906616211,-14.261799812316896
0.86985498046875,-43.590599060058594,-17.21419906616211,-14.261799812316896
0.879854736328125,-44.66419982910156,-17.690000534057617,-14.810799598693848
0.889854248046875,-44.74959945678711,-17.51919937133789,-14.27400016784668
0.899855224609375,-44.2859992980957,-17.690000534057617,-14.90839958190918
0.90985498046875,-44.4567985534668,-17.86079978942871,-14.822999954223633
0.919854736328125,-45.225399017333984,-17.54360008239746,-15.103599548339844
0.929843017578125,-44.79840087890625,-17.26300048828125,-14.993800163269045
0.939854736328125,-44.20059967041016,-17.23859977722168,-14.469200134277344
0.949862548828125,-44.93259811401367,-17.787599563598633,-14.603399276733398
0.95984423828125,-44.74959945678711,-17.506999969482422,-14.164199829101562
0.96985498046875,-44.44459915161133,-17.23859977722168,-14.359399795532228
0.979854736328125,-44.32259750366211,-17.23859977722168,-14.042200088500977
0.98984619140625,-43.87120056152344,-16.872600555419922,-14.23740005493164
0.999854736328125,-44.61539840698242,-16.994600296020508,-14.55459976196289
1.00985498046875,-44.39579772949219,-17.067800521850586,-14.45699977874756
1.019843994140625,-44.4567985534668,-16.811599731445312,-14.335000038146973
1.029844482421875,-44.652000427246094,-17.17759895324707,-14.774199485778809
1.039854736328125,-44.06639862060547,-17.653400421142578,-13.85919952392578
1.049844970703125,-44.74959945678711,-16.994600296020508,-14.34719944000244
1.05984423828125,-44.71299743652344,-16.811599731445312,-14.017799377441406
1.06985498046875,-44.76179885864258,-17.079999923706055,-14.664400100708008
1.07985595703125,-44.578800201416016,-17.336198806762695,-14.676599502563477
1.08984423828125,-45.1156005859375,-16.994600296020508,-14.139800071716309
1.099855224609375,-45.67679977416992,-16.84819984436035,-14.225199699401855
1.10985498046875,-45.225399017333984,-17.53139877319336,-14.59119987487793
1.119854736328125,-44.37139892578125,-17.506999969482422,-14.798599243164062
1.129849609375,-44.578800201416016,-17.336198806762695,-14.469200134277344
1.139854736328125,-44.93259811401367,-17.775400161743164,-14.188599586486816
1.1498447265625,-44.72520065307617,-17.433799743652344,-14.481399536132812
1.159854736328125,-45.21319961547851,-17.445999145507812,-14.261799812316896
1.169854736328125,-44.71299743652344,-17.323999404907227,-13.847000122070312
1.17984423828125,-44.33480072021485,-17.323999404907227,-14.371600151062012
1.18985498046875,-44.10300064086914,-17.311800003051758,-14.151999473571776
1.199854736328125,-44.895999908447266,-17.59239959716797,-13.85919952392578
1.209854736328125,-44.76179885864258,-17.604598999023438,-14.59119987487793
1.219855224609375,-44.99359893798828,-17.51919937133789,-14.481399536132812
1.22984423828125,-44.529998779296875,-18.129199981689453,-14.627799987792969
1.239857177734375,-43.76139831542969,-17.385000228881836,-13.847000122070312
1.2498447265625,-45.274200439453125,-18.129199981689453,-13.89579963684082
1.25985400390625,-43.93219757080078,-17.55579948425293,-13.4443998336792
1.269844482421875,-43.78580093383789,-17.470399856567383,-13.74940013885498
1.27984423828125,-44.55439758300781,-17.665599822998047,-13.76159954071045
1.289855224609375,-44.55439758300781,-17.677799224853516,-13.968999862670898
1.299855224609375,-45.46939849853515,-17.54360008239746,-14.688799858093262
1.309838623046875,-43.99319839477539,-17.824199676513672,-13.773799896240234
1.319854736328125,-45.103397369384766,-17.958398818969727,-13.981199264526367
1.32984423828125,-45.274200439453125,-17.702199935913086,-14.493599891662598
1.339848388671875,-45.0911979675293,-17.445999145507812,-14.578999519348145
1.34985498046875,-45.07899856567383,-17.87299919128418,-14.395999908447266
1.359855224609375,-44.18840026855469,-17.665599822998047,-14.078800201416016
1.369862060546875,-44.76179885864258,-18.129199981689453,-14.627799987792969
1.379854736328125,-44.44459915161133,-17.763198852539062,-14.395999908447266
1.38985498046875,-45.17659759521485,-17.787599563598633,-14.286199569702148
1.399861328125,-44.859397888183594,-17.53139877319336,-14.798599243164062
1.40984423828125,-44.859397888183594,-17.53139877319336,-14.798599243164062
1.419855224609375,-44.82279968261719,-18.299999237060547,-14.21299934387207
1.42984423828125,-44.50559997558594,-18.031599044799805,-14.517999649047852
1.439854736328125,-45.44499969482422,-17.88520050048828,-14.078800201416016
1.44985498046875,-45.152198791503906,-18.22679901123047,-14.517999649047852
1.459845703125,-44.908199310302734,-17.690000534057617,-14.38379955291748
1.469847900390625,-45.44499969482422,-17.88520050048828,-14.078800201416016
1.479846435546875,-44.98139953613281,-17.421600341796875,-13.847000122070312
1.489855224609375,-44.639801025390625,-17.604598999023438,-14.481399536132812
1.499853271484375,-45.5547981262207,-17.89739990234375,-14.603399276733398
1.50985498046875,-44.56660079956055,-17.775400161743164,-14.286199569702148
1.519854736328125,-44.44459915161133,-17.23859977722168,-14.151999473571776
1.529849365234375,-44.66419982910156,-17.690000534057617,-14.493599891662598
1.539844970703125,-45.66460037231445,-17.7997989654541,-14.286199569702148
1.54985498046875,-45.50600051879883,-17.61680030822754,-13.85919952392578
1.559854736328125,-44.9203987121582,-17.690000534057617,-14.176400184631348
1.56984423828125,-44.38359832763672,-17.506999969482422,-14.27400016784668
1.57985009765625,-44.969200134277344,-17.86079978942871,-13.663999557495115
1.58985498046875,-44.4567985534668,-17.763198852539062,-14.078800201416016
1.59984423828125,-45.62799835205078,-17.61680030822754,-13.968999862670898
1.609855224609375,-45.13999938964844,-17.604598999023438,-13.968999862670898
1.619855224609375,-45.29859924316406,-17.787599563598633,-14.078800201416016
1.62984423828125,-45.29859924316406,-17.677799224853516,-13.12720012664795
1.639854736328125,-45.225399017333984,-17.848600387573242,-13.139399528503418
1.649854736328125,-45.43280029296875,-17.677799224853516,-13.029600143432615
1.6598427734375,-45.493797302246094,-17.93400001525879,-12.626999855041504
1.66984423828125,-45.24979782104492,-17.93400001525879,-12.626999855041504
1.67984423828125,-45.04240036010742,-18.007200241088867,-12.309800148010254
1.68985498046875,-45.322998046875,-18.19019889831543,-12.639200210571287
1.699854736328125,-45.908599853515625,-18.117000579833984,-12.212200164794922
1.70985498046875,-45.39619827270508,-18.446399688720703,-12.12679958343506
1.719854736328125,-45.56699752807617,-18.19019889831543,-12.22439956665039
1.72984423828125,-46.213600158691406,-18.81239891052246,-11.73639965057373
1.73984423828125,-45.0911979675293,-18.690399169921875,-11.724200248718262
1.749855224609375,-44.969200134277344,-18.165800094604492,-11.699799537658691
1.75984912109375,-45.38399887084961,-18.87339973449707,-11.846199989318848
1.76985498046875,-45.18880081176758,-19.031999588012695,-11.016599655151367
1.779854736328125,-44.72520065307617,-19.105199813842773,-11.333799362182615
1.78984423828125,-45.31079864501953,-19.458999633789062,-10.41879940032959
1.799855224609375,-44.76179885864258,-19.70299911499023,-10.638400077819824
1.809855224609375,-44.82279968261719,-19.971399307250977,-10.76039981842041
1.81986181640625,-45.71339797973633,-20.069000244140625,-9.61359977722168
1.829854736328125,-45.286399841308594,-20.325199127197266,-10.052800178527832
1.839854736328125,-44.9203987121582,-20.83759880065918,-9.979599952697754
1.849866943359375,-45.44499969482422,-20.935199737548828,-9.674599647521973
1.859843994140625,-44.17620086669922,-21.764799118041992,-9.93079948425293
1.86985498046875,-44.834999084472656,-21.435400009155273,-9.601399421691896
1.879854736328125,-44.639801025390625,-22.130800247192383,-9.74779987335205
