,seconds_elapsed_rounded,accelerometer_time,accelerometer_seconds_elapsed,accelerometer_z,accelerometer_y,accelerometer_x,accelerometeruncalibrated_time,accelerometeruncalibrated_seconds_elapsed,accelerometeruncalibrated_z,accelerometeruncalibrated_y,accelerometeruncalibrated_x,gravity_time,gravity_seconds_elapsed,gravity_z,gravity_y,gravity_x,gyroscope_time,gyroscope_seconds_elapsed,gyroscope_z,gyroscope_y,gyroscope_x,gyroscopeuncalibrated_time,gyroscopeuncalibrated_seconds_elapsed,gyroscopeuncalibrated_z,gyroscopeuncalibrated_y,gyroscopeuncalibrated_x,location_time,location_seconds_elapsed,location_bearingAccuracy,location_speedAccuracy,location_verticalAccuracy,location_horizontalAccuracy,location_speed,location_bearing,location_altitude,location_longitude,location_latitude,magnetometer_time,magnetometer_seconds_elapsed,magnetometer_z,magnetometer_y,magnetometer_x,magnetometeruncalibrated_time,magnetometeruncalibrated_seconds_elapsed,magnetometeruncalibrated_z,magnetometeruncalibrated_y,magnetometeruncalibrated_x,orientation_time,orientation_seconds_elapsed,orientation_qz,orientation_qy,orientation_qx,orientation_qw,orientation_roll,orientation_pitch,orientation_yaw,totalacceleration_time,totalacceleration_seconds_elapsed,totalacceleration_z,totalacceleration_y,totalacceleration_x
0,0.0,,,,,,,,,,,,,,,,1.6887019423945964e+18,0.042596435546875,1.9141463041305544,1.7313448190689087,0.3408628106117248,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0.1,1.6887019424854449e+18,0.13344482421875,0.2576103210449219,-1.638603687286377,0.7333431839942932,1.6887019424594857e+18,0.10748579101562501,8.680442810058594,4.107997894287109,-1.3617553293704987,1.6887019424854449e+18,0.13344482421875,8.481712341308594,4.645341873168945,-1.648473620414734,1.6887019424474678e+18,0.09546773274739584,2.1095213492711387,0.7357617318630219,0.07819075323641297,1.6887019424474678e+18,0.09546773274739584,2.1253783901532493,0.710003579656283,0.07676539694269498,,,,,,,,,,,,1.6887019424521938e+18,0.100193896484375,-39.23885955810547,-28.385739707946776,22.85791931152344,1.6887019424521938e+18,0.100193896484375,-293.7796569824219,67.07925872802734,-110.35387802124023,1.6887019424854449e+18,0.13344482421875,0.7928378582000732,0.2503619492053985,0.070849172770977,0.5510965585708618,0.1870135366916656,-0.495057612657547,-1.8793518543243408,1.6887019424594857e+18,0.10748579101562501,8.67446060180664,4.1253458023071286,-1.4245669186115264
2,0.2,1.688701942545998e+18,0.19399820963541667,0.22385946909586588,-1.2049929300944011,1.2955050965150197,1.6887019425546499e+18,0.2026501057942708,8.609575271606445,3.473281741142273,-0.5446662430961927,1.688701942545998e+18,0.19399820963541667,8.440986474355062,4.669358412424724,-1.779030203819275,1.688701942545998e+18,0.19399820963541667,1.0859656929969788,0.8773552079995474,0.06643160060048103,1.688701942545998e+18,0.19399820963541667,1.0849984685579936,0.8818857967853546,0.06884960519770783,,,,,,,,,,,,1.688701942552194e+18,0.200193994140625,-38.07741851806641,-30.74155921936035,21.667199516296385,1.688701942552194e+18,0.200193994140625,-292.6182159423828,64.72343826293945,-111.54459762573242,1.688701942545998e+18,0.19399820963541667,0.8135905067125956,0.25785741706689197,0.05536401520172751,0.517762487133344,0.20266998559236524,-0.4975271075963974,-1.956457257270813,1.6887019425546499e+18,0.2026501057942708,8.603593031565348,3.4906297524770102,-0.6074778412779173
3,0.30000000000000004,1.6887019426498184e+18,0.29781868489583335,1.5475023587544758,-1.0924136638641357,0.4752262830734253,1.6887019426584696e+18,0.306469482421875,9.725727399190268,4.273282170295715,-1.5601203838984172,1.6887019426498184e+18,0.29781868489583335,8.073276201883951,5.17592207590739,-2.056757867336273,1.6887019426498184e+18,0.29781868489583335,0.43587779253721237,0.9005681152145067,0.12186761448780692,1.6887019426498184e+18,0.29781868489583335,0.43488513802488643,0.9050223107139269,0.12426016479730607,,,,,,,,,,,,1.688701942652198e+18,0.300197900390625,-35.288499450683595,-33.90013885498047,21.750159645080565,1.688701942652198e+18,0.300197900390625,-289.829296875,61.56485824584961,-111.46163787841797,1.6887019426498184e+18,0.29781868489583335,0.8270472685496012,0.2933217138051986,0.045224480330944034,0.47712724407513935,0.24408482263485587,-0.5569273034731547,-2.0249747037887573,1.6887019426584696e+18,0.306469482421875,9.719745318094889,4.290630062421163,-1.6229319870471954
4,0.4,1.6887019427536302e+18,0.4016304117838541,-1.57334566116333,-1.2747438351313274,1.166645884513855,1.6887019427536338e+18,0.4016337402343749,6.119404697418213,3.705285882949829,-1.7389838337898254,1.6887019427536302e+18,0.4016304117838541,7.796714862187703,5.1647326946258545,-2.950969179471334,1.6887019427536302e+18,0.4016304117838541,0.6356052855650584,1.1937070439259212,-0.1534798964858055,1.6887019427536302e+18,0.4016304117838541,0.6345871786276499,1.1981358180443447,-0.1510618875424067,,,,,,,,,,,,1.6887019427521976e+18,0.40019760742187505,-32.30193920135498,-34.84686012268067,24.883119583129883,1.6887019427521976e+18,0.40019760742187505,-286.8427337646484,60.61813926696777,-108.32867736816407,1.6887019427536302e+18,0.4016304117838541,0.8457946181297302,0.3186700642108917,-0.014381927205249648,0.427130122979482,0.35657518605391186,-0.5552658041318258,-2.1035909255345664,1.6887019427536338e+18,0.4016337402343749,6.113422632217407,3.7226338148117066,-1.801795446872711
5,0.5,1.6887019428574472e+18,0.5054471435546876,0.6962362925211588,-2.7012906074523926,1.960629681746165,1.6887019428487946e+18,0.4967947591145834,8.669395764668783,2.031606137752533,-0.7064808811992407,1.6887019428574472e+18,0.5054471435546876,8.404203176498413,4.3198924859364825,-2.578053116798401,1.6887019428574472e+18,0.5054471435546876,-0.5223915974299113,-1.2501611709594727,-1.430773655573527,1.6887019428574472e+18,0.5054471435546876,-0.5234097068508466,-1.2456814845403035,-1.428381085395813,,,,,,,,,,,,1.6887019428521958e+18,0.5001960205078125,-35.89605941772461,-31.850540351867675,23.570399475097656,1.6887019428521958e+18,0.5001960205078125,-290.4368530273438,63.61445922851563,-109.64139785766602,1.6887019428574472e+18,0.5054471435546876,0.862603614727656,0.26463560263315833,-0.01822670921683305,0.4297465831041336,0.2932505284746488,-0.45706679423650104,-2.1477373441060386,1.6887019428487946e+18,0.4967947591145834,8.663413921991983,2.04895410935084,-0.7692924759661158
6,0.6000000000000001,1.6887019429526113e+18,0.60061123046875,-0.5596824645996095,-2.8206849575042723,1.2263505935668946,1.688701942952614e+18,0.6006139729817709,8.535696744918823,0.533001239101092,0.09022935635099809,1.6887019429526113e+18,0.60061123046875,9.10997200012207,3.3734638690948486,-1.2204836368560792,1.6887019429526113e+18,0.60061123046875,-0.39889501528814436,-2.271227478981018,-1.1640342772006989,1.6887019429526113e+18,0.60061123046875,-0.39987238636240363,-2.266798758506775,-1.1616518676280976,,,,,,,,,,,,1.6887019429521976e+18,0.6001977783203125,-42.548719024658205,-26.478879547119142,18.528139686584474,1.6887019429521976e+18,0.6001977783203125,-297.0895111083984,68.98611907958984,-114.68365783691407,1.6887019429526113e+18,0.60061123046875,0.8597094535827636,0.18302475512027735,0.03107956070452924,0.47465792298316956,0.1289021879434585,-0.35195671916008,-2.1088544368743896,1.688701942952614e+18,0.6006139729817709,8.529714822769165,0.5503492106993993,0.027417760963241267
7,0.7000000000000001,1.6887019430477714e+18,0.6957716064453124,-0.05140542984008791,-2.733506759007772,1.162847047050794,1.6887019430564262e+18,0.7044261881510416,9.697312513987224,-1.2392827173074086,1.3866407225529354,1.6887019430477714e+18,0.6957716064453124,9.63489596048991,1.6920875410238903,0.19819500794013342,1.6887019430477714e+18,0.6957716064453124,-0.3058907700081666,-1.4483614961306255,-1.9762762983640034,1.6887019430477714e+18,0.6957716064453124,-0.3068579745789369,-1.4438818097114563,-1.9738583167394002,,,,,,,,,,,,1.6887019430521976e+18,0.7001975830078125,-48.930538940429685,-17.952299880981446,11.644899845123291,1.6887019430521976e+18,0.7001975830078125,-303.47132873535156,77.51269836425782,-121.56689834594727,1.6887019430477714e+18,0.6957716064453124,0.8638651669025421,0.06934603334714963,0.05375678154329453,0.49459410707155865,-0.024796839182575515,-0.17438260465860367,-2.102533459663391,1.6887019430564262e+18,0.7044261881510416,9.691330591837565,-1.2219347755114238,1.3238291144371033
8,0.8,1.6887019431515873e+18,0.7995874837239584,0.2063471476236979,-3.094580372174581,-2.1582794984181723,1.688701943151584e+18,0.79958408203125,9.855916786193848,-3.3053256034851075,-1.0198210179805756,1.6887019431515873e+18,0.7995874837239584,9.732876141866049,-0.13826566274898747,1.1024710436662037,1.6887019431515873e+18,0.7995874837239584,-0.5561928103367487,-0.15974125638604164,-1.8567758202552795,1.6887019431515873e+18,0.7995874837239584,-0.5572363783915838,-0.1552361324429512,-1.8543578187624614,1.688701943151893e+18,0.79989306640625,0.0,0.0,0.9968845248222352,12.359000205993652,1.1944242715835571,249.01461791992188,41.80000305175781,-122.7540396,49.1905408,1.688701943152197e+18,0.8001970703125,-52.78329849243164,-8.242319869995118,6.944239807128906,1.688701943152197e+18,0.8001970703125,-307.3240966796875,87.2226776123047,-126.26755752563477,1.6887019431515873e+18,0.7995874837239584,0.8464125196139017,-0.03643246322947862,0.046009448667367246,0.528512199719747,-0.11731573566794391,0.013017109750459584,-2.0243889490763345,1.688701943151584e+18,0.79958408203125,9.849934577941895,-3.287977600097656,-1.0826326131820678
9,0.9,1.6887019432554017e+18,0.9034016927083334,-0.3312689463297526,-2.335029125213623,-3.0552070140838623,1.6887019432467528e+18,0.8947528889973958,9.307780901590982,-4.19840665658315,-3.066701352596283,1.6887019432554017e+18,0.9034016927083334,9.534101168314615,-2.013569990793864,-0.35045312500248355,1.6887019432554017e+18,0.9034016927083334,-0.7952192823092142,3.1144455869992576,-1.9310977657636006,1.6887019432554017e+18,0.9034016927083334,-0.7961864868799845,3.1189252138137817,-1.9287051955858867,,,,,,,,,,,,1.6887019432521953e+18,0.9001953857421874,-50.949638748168944,2.0654599487781526,14.26301965713501,1.6887019432521953e+18,0.9001953857421874,-305.4904327392578,97.53045883178712,-118.94877624511719,1.6887019432554017e+18,0.9034016927083334,0.8190763394037882,-0.07479190205534295,-0.07120134184757869,0.5612343549728394,0.033442181224624334,0.2056213393807411,-1.9462379614512126,1.6887019432467528e+18,0.8947528889973958,9.301798661549887,-4.181058764457703,-3.129512886206309
