seconds_elapsed_rounded,accelerometer_time,accelerometer_seconds_elapsed,accelerometer_z,accelerometer_y,accelerometer_x,accelerometeruncalibrated_time,accelerometeruncalibrated_seconds_elapsed,accelerometeruncalibrated_z,accelerometeruncalibrated_y,accelerometeruncalibrated_x,gravity_time,gravity_seconds_elapsed,gravity_z,gravity_y,gravity_x,gyroscope_time,gyroscope_seconds_elapsed,gyroscope_z,gyroscope_y,gyroscope_x,gyroscopeuncalibrated_time,gyroscopeuncalibrated_seconds_elapsed,gyroscopeuncalibrated_z,gyroscopeuncalibrated_y,gyroscopeuncalibrated_x,location_time,location_seconds_elapsed,location_bearingAccuracy,location_speedAccuracy,location_verticalAccuracy,location_horizontalAccuracy,location_speed,location_bearing,location_altitude,location_longitude,location_latitude,magnetometer_time,magnetometer_seconds_elapsed,magnetometer_z,magnetometer_y,magnetometer_x,magnetometeruncalibrated_time,magnetometeruncalibrated_seconds_elapsed,magnetometeruncalibrated_z,magnetometeruncalibrated_y,magnetometeruncalibrated_x,orientation_time,orientation_seconds_elapsed,orientation_qz,orientation_qy,orientation_qx,orientation_qw,orientation_roll,orientation_pitch,orientation_yaw
0.05,,,,,,,,,,,,,,,,1.6888761497444795e+18,0.0734794921875,0.5783366560935974,-0.1753183305263519,-1.987755537033081,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.1,1.688876149792125e+18,0.121125,-0.9536333084106444,1.5426983833312988,-3.751491069793701,1.6888761497748224e+18,0.1038223876953125,8.268398761749268,5.315655469894409,-4.7195435762405396,,,,,,1.6888761497704988e+18,0.099498779296875,0.02076941728591919,0.6136904954910278,-0.9151525050401688,1.6888761497748224e+18,0.1038223876953125,-0.37835466675460344,0.6609561890363693,-0.5488624200224876,,,,,,,,,,,,1.6888761497750282e+18,0.1040281982421875,-36.667099952697754,-36.68540096282959,1.9733499586582184,1.6888761497750282e+18,0.1040281982421875,-292.29368591308594,58.16959857940674,-131.15304946899414,,,,,,,,,
0.15,1.6888761498267297e+18,0.155729736328125,0.6687680880228678,0.4413356781005859,-2.3306972682476044,1.6888761498180803e+18,0.147080322265625,8.124629974365234,6.710272312164307,-3.937389592329661,1.6888761498180803e+18,0.147080322265625,7.720511754353841,5.885140101114909,-1.4080421129862468,1.688876149813751e+18,0.14275130208333334,-0.3061453054348628,-1.0849475661913555,0.04642575668791927,1.6888761498180803e+18,0.147080322265625,-0.27249680459499354,-1.087543745835622,0.030645072460174533,,,,,,,,,,,,1.6888761498200325e+18,0.14903276367187498,-36.965999603271484,-36.44871978759765,1.8397599697113036,1.6888761498200325e+18,0.14903276367187498,-292.59259643554685,58.40627822875977,-131.28663635253906,1.6888761498180803e+18,0.147080322265625,-0.9198923707008362,-0.28167247772216797,0.1636272569497426,0.21821365257104233,0.22237390776475272,-0.63066699107488,2.748579740524292
0.2,1.6888761498786286e+18,0.20762874348958335,0.45813767115275045,-4.059945265452067,2.145152727762858,1.6888761498699837e+18,0.19898372395833333,10.860822677612305,1.904886245727539,0.935394229988257,1.6888761498699837e+18,0.19898372395833333,7.806163311004639,5.7763245900472,-1.3854701121648152,1.6888761498656594e+18,0.19465926106770834,-0.38830666740735365,0.23238333066304526,-0.05976299444834391,1.6888761498699837e+18,0.19898372395833333,-0.38321612278620404,0.4475605928649505,0.17913620670636496,,,,,,,,,,,,1.6888761498700316e+18,0.199031640625,-37.2343994140625,-35.80699920654297,1.2102399826049806,1.6888761498700316e+18,0.199031640625,-292.8609985351562,59.04799957275391,-131.9161590576172,1.6888761498699837e+18,0.19898372395833333,-0.924513578414917,-0.2769750952720642,0.15759235620498657,0.20901334285736084,0.21693276365598035,-0.6162776549657186,2.7662216822306314
0.25,1.6888761499218888e+18,0.2508887939453125,-1.3615899085998535,-6.129914283752441,0.8739391565322876,1.6888761499218854e+18,0.2508857421875,6.43549648920695,0.5150550603866577,-0.2877369026343028,1.6888761499218854e+18,0.2508857421875,6.972097714742024,6.595852533976237,-1.9673538605372112,1.688876149917562e+18,0.24656209309895835,0.9374745488166809,2.9445741176605225,2.6959519386291504,1.6888761499218854e+18,0.2508857421875,1.0487028857072194,3.106097141901652,2.5745933850606284,,,,,,,,,,,,1.6888761499200374e+18,0.249037353515625,-33.99896011352539,-39.022919464111325,3.7624799251556396,1.6888761499200374e+18,0.249037353515625,-289.62554321289065,55.832079315185545,-129.3639129638672,1.6888761499218854e+18,0.2508857421875,-0.8970774412155151,-0.31667910019556683,0.21024340887864426,0.22293044130007422,0.3215195933977762,-0.7244550188382467,2.7779953479766846
0.3,1.6888761499651361e+18,0.29413631184895833,-1.1923648516337078,-4.491199175516765,2.083467721939087,1.6888761499737907e+18,0.30279069010416665,3.5022946993509927,3.1784661784768105,-2.0989042123158774,1.6888761499737907e+18,0.30279069010416665,6.404568036397298,6.916465759277344,-2.7059704462687173,1.6888761499694687e+18,0.29846875,1.7078773975372314,3.7089192867279053,-1.348841369152069,1.6888761499737907e+18,0.30279069010416665,1.6693929433822632,3.4823900063832602,-1.7127134303251903,,,,,,,,,,,,1.6888761499700355e+18,0.299035595703125,-30.62199935913086,-41.431200408935545,6.285439777374267,1.6888761499700355e+18,0.299035595703125,-286.24859619140625,53.42379913330078,-126.84095611572266,1.6888761499737907e+18,0.30279069010416665,-0.8580607771873474,-0.30888626972834266,0.2857578496138255,0.29272876183191937,0.4481648604075114,-0.7728793422381083,2.6690544287363687
0.35,1.6888761500170406e+18,0.3460406087239583,-5.2793318430582685,-1.4592270851135254,2.622226079305013,1.6888761500256963e+18,0.3546962890625,4.216352979342143,2.8630123138427734,2.250449776649475,1.6888761500256963e+18,0.3546962890625,7.247968991597493,6.065520763397217,-2.5897128582000732,1.6888761500213676e+18,0.3503675130208333,0.7990626245737076,-0.31897348165512085,-3.1138856410980225,1.6888761500256963e+18,0.3546962890625,0.642681147903204,-0.3952298288544019,-3.1831169923146567,,,,,,,,,,,,1.688876150020034e+18,0.349034033203125,-36.377959442138675,-36.785440063476564,6.102439880371094,1.688876150020034e+18,0.349034033203125,-292.0045593261719,58.069559478759764,-127.02395629882812,1.6888761500256963e+18,0.3546962890625,-0.8622074723243713,-0.2469358146190643,0.27249044179916376,0.34756789604822796,0.38952745000521344,-0.6627774635950724,2.5115838050842285
0.4,1.6888761500689518e+18,0.3979518229166667,-1.8898506164550781,-6.401536305745442,6.729592800140381,1.6888761500775956e+18,0.4065956217447917,6.561717987060547,-2.9690941174825034,3.935196320215861,1.6888761500775956e+18,0.4065956217447917,8.225846926371256,4.497435013453166,-2.836814800898234,1.6888761500732723e+18,0.4022721354166667,-2.0835594733556113,0.3289000292619069,-3.3911675612131753,1.6888761500775956e+18,0.4065956217447917,-2.3394612073898315,0.3447825312614441,-3.252195676167806,,,,,,,,,,,,1.688876150070036e+18,0.3990361328125,-42.37059860229492,-29.519119262695312,6.348879814147949,1.688876150070036e+18,0.3990361328125,-297.9971923828125,65.33587875366212,-126.7775161743164,1.6888761500775956e+18,0.4065956217447917,-0.8906627297401428,-0.1604783733685811,0.2443908850351969,0.34697677691777545,0.37200785676638287,-0.473169485727946,2.48878812789917
0.45,1.6888761501208507e+18,0.4498509928385417,-3.169119199117025,-8.18806234995524,1.6030415693918865,1.6888761501208515e+18,0.4498514404296875,5.6222357749938965,-6.002694606781006,-1.3325030971318483,1.6888761501208515e+18,0.4498514404296875,8.62280559539795,3.0833853483200073,-3.503504753112793,1.688876150125175e+18,0.45417504882812504,-3.5780922571818032,0.22367848704258597,-2.386446952819824,1.6888761501208515e+18,0.4498514404296875,-3.629990339279175,0.23648121207952494,-2.39993679523468,,,,,,,,,,,,1.6888761501200358e+18,0.44903574218750003,-46.03547897338867,-22.284519577026366,10.982439994812012,1.6888761501200358e+18,0.44903574218750003,-301.6620727539063,72.57047882080079,-122.14395751953126,1.6888761501208515e+18,0.4498514404296875,-0.9192314147949219,-0.0891412980854511,0.24138794094324112,0.29739017784595484,0.4229537695646286,-0.31255263090133667,2.5832693576812744
0.5,1.6888761501727506e+18,0.5017506510416667,-2.6824377377827964,-9.729179382324219,-6.083882013956706,1.688876150164104e+18,0.49310367838541663,6.324030876159668,-8.76869789759318,-7.953941822052002,1.688876150164104e+18,0.49310367838541663,8.80778439839681,1.6164828141530354,-3.972218672434489,1.6888761501770732e+18,0.506072998046875,-3.2227214177449546,0.6259841720263163,-2.8571694691975913,1.688876150164104e+18,0.49310367838541663,-3.2586607138315835,0.5508986463149389,-2.500220537185669,,,,,,,,,,,,1.6888761501700406e+18,0.499040478515625,-48.10459899902344,-14.930359649658204,15.069439506530761,1.6888761501700406e+18,0.499040478515625,-303.73118896484374,79.92463989257813,-118.0569580078125,1.688876150164104e+18,0.49310367838541663,-0.93996262550354,-0.020935205121835065,0.23809441427389777,0.24186865488688147,0.45843560496966046,-0.1551201169689496,2.673786004384359
