seconds_elapsed_rounded,accelerometer_time,accelerometer_seconds_elapsed,accelerometer_z,accelerometer_y,accelerometer_x,accelerometeruncalibrated_time,accelerometeruncalibrated_seconds_elapsed,accelerometeruncalibrated_z,accelerometeruncalibrated_y,accelerometeruncalibrated_x,gravity_time,gravity_seconds_elapsed,gravity_z,gravity_y,gravity_x,gyroscope_time,gyroscope_seconds_elapsed,gyroscope_z,gyroscope_y,gyroscope_x,gyroscopeuncalibrated_time,gyroscopeuncalibrated_seconds_elapsed,gyroscopeuncalibrated_z,gyroscopeuncalibrated_y,gyroscopeuncalibrated_x,location_time,location_seconds_elapsed,location_bearingAccuracy,location_speedAccuracy,location_verticalAccuracy,location_horizontalAccuracy,location_speed,location_bearing,location_altitude,location_longitude,location_latitude,magnetometer_time,magnetometer_seconds_elapsed,magnetometer_z,magnetometer_y,magnetometer_x,magnetometeruncalibrated_time,magnetometeruncalibrated_seconds_elapsed,magnetometeruncalibrated_z,magnetometeruncalibrated_y,magnetometeruncalibrated_x,orientation_time,orientation_seconds_elapsed,orientation_qz,orientation_qy,orientation_qx,orientation_qw,orientation_roll,orientation_pitch,orientation_yaw,totalacceleration_time,totalacceleration_seconds_elapsed,totalacceleration_z,totalacceleration_y,totalacceleration_x
0.05,,,,,,,,,,,,,,,,1.6888759154146962e+18,0.0716962890625,-0.2096794992685318,0.0847575515508651,0.0540615729987621,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.1,,,,,,1.6888759154449597e+18,0.1019598388671875,9.467502117156982,0.0269192554987967,0.6134598851203918,,,,,,1.68887591544929e+18,0.10628987630208335,-0.2680171281099319,0.10257445524136223,0.07136942322055494,1.6888759154449597e+18,0.1019598388671875,-0.24900395423173904,0.10140362754464144,0.07719809561967844,,,,,,,,,,,,1.6888759154461102e+18,0.1031103515625,-50.48664951324463,1.4700999855995178,14.51800012588501,1.6888759154461102e+18,0.1031103515625,-306.1132507324219,96.32509803771973,-118.6083984375,,,,,,,,,,1.6888759154363133e+18,0.093313232421875,9.419545809427897,0.1240279776975512,0.5252245664596558
0.15000000000000002,1.688875915488214e+18,0.14521402994791666,-0.1643069585164388,0.5925003985563914,-0.2866023282210032,1.688875915488214e+18,0.14521402994791666,9.65503978729248,0.8879365821679431,0.1806581070025762,1.688875915488214e+18,0.14521402994791666,9.796545346577963,0.3111813763777415,0.4025469521681468,1.6888759154925466e+18,0.149546630859375,-0.5170974433422089,0.3471241742372512,0.2848922833800316,1.688875915488214e+18,0.14521402994791666,-0.4789692560831706,0.33317609628041583,0.276874665170908,,,,,,,,,,,,1.6888759154911217e+18,0.14812172851562502,-50.005358123779295,1.2931999444961548,14.91083984375,1.6888759154911217e+18,0.14812172851562502,-305.6319519042969,96.14819793701172,-118.21555786132812,1.6888759154968689e+18,0.15386873372395835,0.6531455516815186,-0.006786573336285066,0.022486079484224264,0.756842315196991,-0.039644153788685764,-0.025150104736288332,-1.4244438409805298,1.688875915488214e+18,0.14521402994791666,9.632308006286621,0.9034899671872457,0.11605189895878233
0.2,1.6888759155401208e+18,0.1971209309895833,-0.006544748942057292,2.692276040712992,1.2109396159648895,1.6888759155401208e+18,0.1971209309895833,9.804590861002604,3.3048868974049888,1.4177473783493042,1.6888759155401208e+18,0.1971209309895833,9.788334210713705,0.6283560196558634,0.14209426442782083,1.6888759155357955e+18,0.19279565429687498,0.1922189344962438,0.560163418451945,0.6334163496891657,1.6888759155401208e+18,0.1971209309895833,0.2491821267952522,0.615955779949824,0.5370523519814014,,,,,,,,,,,,1.688875915541122e+18,0.1981220703125,-50.43967895507812,0.053680005669593814,15.611119842529297,1.688875915541122e+18,0.1981220703125,-306.06626586914064,94.90868072509765,-117.51527709960938,1.6888759155487726e+18,0.20577270507812498,0.6540810465812683,0.014277936580280435,0.0246011267105738,0.7558616201082865,-0.010621578277399133,-0.055922740449507964,-1.4269649187723796,1.6888759155401208e+18,0.1971209309895833,9.781859079996744,3.3204402128855386,1.3531411786874135
0.25,1.6888759155920197e+18,0.24901969401041665,-1.5584643681844075,-1.689777284860611,0.170680562655131,1.6888759155920197e+18,0.24901969401041665,8.249056816101074,-1.2376875032981236,-0.2446661194165547,1.6888759155920197e+18,0.24901969401041665,9.784719785054525,0.46783504883448285,-0.4800601800282796,1.6888759155877007e+18,0.24470076497395832,0.06867143511772156,1.4567099610964458,-0.6611598134040833,1.6888759155920197e+18,0.24901969401041665,0.03410664200782773,1.3245085875193279,-0.7136942346890768,,,,,,,,,,,,1.6888759155911183e+18,0.24811835937499999,-49.57591934204102,0.07564000189304351,17.99499931335449,1.6888759155911183e+18,0.24811835937499999,-305.2025146484375,94.93063659667969,-115.1313980102539,1.6888759156006756e+18,0.257675537109375,0.6573251684506735,0.030449151992797834,-0.006450759712606634,0.7529184619585673,0.05438320090373353,-0.0303231353561083,-1.4346611102422078,1.6888759155920197e+18,0.24901969401041665,8.226325035095215,-1.2221341927846272,-0.3092723091443379
0.30000000000000004,1.6888759156439242e+18,0.300924072265625,-2.4742952982584634,-2.5482965310414634,2.5329926013946533,1.6888759156439242e+18,0.300924072265625,7.348158836364746,-2.7375884850819907,2.516451835632324,1.6888759156439242e+18,0.300924072265625,9.799652735392252,-0.17354673643906912,-0.08125423019131024,1.6888759156396004e+18,0.29660026041666665,-0.799113541841507,-1.87499996026357,-1.6078482468922932,1.6888759156439242e+18,0.300924072265625,-0.8877908289432526,-1.9391916990280151,-1.6845118204752605,,,,,,,,,,,,1.6888759156411185e+18,0.29811845703125,-49.461239624023435,2.6132399082183837,18.336599349975586,1.6888759156411185e+18,0.29811845703125,-305.08783569335935,97.4682388305664,-114.78979797363282,1.688875915643924e+18,0.300924072265625,0.6505513787269592,-0.0080037030857056,-0.011873890180140699,0.7591841816902161,0.003216677345335499,0.028345818631350952,-1.4168388843536377,1.6888759156439242e+18,0.300924072265625,7.325427055358887,-2.7220351298650107,2.451845645904541
0.35000000000000003,1.6888759156958216e+18,0.3528212890625,-0.10107739766438802,-3.7386528650919595,1.9191872676213582,1.6888759156958216e+18,0.3528212890625,9.687541961669922,-4.640480836232503,1.9665013949076335,1.6888759156958216e+18,0.3528212890625,9.765817960103353,-0.8860828081766764,-0.017399327208598454,1.6888759156915044e+18,0.34850447591145833,-1.5081244707107544,1.3842206249634426,-1.0032952626546223,1.6888759156958216e+18,0.3528212890625,-1.563051462173462,1.6664912700653076,-0.8503753393888474,,,,,,,,,,,,1.6888759156911188e+18,0.34811884765625,-49.8150390625,8.330159664154053,15.48423957824707,1.6888759156911188e+18,0.34811884765625,-305.44163208007814,103.1851577758789,-117.64215850830078,1.6888759156871754e+18,0.34417569986979163,0.6269104480743408,-0.03505211633940533,-0.03162496040264764,0.7774686018625895,-0.015058704962333034,0.0935069695115089,-1.356627384821574,1.6888759156958216e+18,0.3528212890625,9.664810180664062,-4.624927361806233,1.9018951654434204
0.4,1.6888759157477253e+18,0.40472550455729167,-3.3465933799743652,-3.434731403986613,1.2183961470921834,1.6888759157477253e+18,0.40472550455729167,6.369893232981364,-4.45284366607666,0.19122642278671265,1.6888759157477253e+18,0.40472550455729167,9.693685213724772,-1.0023670196533203,-1.0918832421302795,1.6888759157434022e+18,0.40040226236979165,-2.6758952140808105,2.3539183139801025,0.13372858613729474,1.6888759157477253e+18,0.40472550455729167,-2.7829492886861167,2.313143014907837,0.11545353382825851,,,,,,,,,,,,1.688875915741119e+18,0.39811904296875,-47.57267837524414,10.562759590148925,19.837199401855468,1.688875915741119e+18,0.39811904296875,-303.199267578125,105.41775817871094,-113.28919830322266,1.6888759157390774e+18,0.3960773111979166,0.5816661516825358,0.0044412623780469,-0.07090701038638743,0.809915820757548,0.09039102246363954,0.1105451881885528,-1.2506399552027385,1.6888759157477253e+18,0.40472550455729167,6.347161451975505,-4.437290191650391,0.1266201833883922
0.45,1.6888759157996257e+18,0.4566258951822917,-3.1264214515686035,-2.887829860051473,-1.994191567103068,1.6888759157996257e+18,0.4566258951822917,6.365307013193767,-4.340979099273682,-4.0147576332092285,1.6888759157996257e+18,0.4566258951822917,9.468927065531412,-1.4374040762583415,-2.0852795441945395,1.6888759157953024e+18,0.452302490234375,-3.2736777464548745,2.6620489756266275,-0.6400849719842275,1.6888759157996257e+18,0.4566258951822917,-3.2710816065470376,2.7978137334187827,-0.7072801391283671,,,,,,,,,,,,1.6888759157911222e+18,0.44812216796875,-45.149759674072264,14.149559783935548,23.101919174194336,1.6888759157911222e+18,0.44812216796875,-300.77635498046874,109.00455627441406,-110.02447662353515,1.6888759157909727e+18,0.4479724934895833,0.5095384021600088,0.0441083069890737,-0.11026044686635329,0.8516772985458374,0.19041109085083005,0.14416783054669693,-1.092281182607015,1.6888759157996257e+18,0.4566258951822917,6.342575232187907,-4.325425783793132,-4.079363822937012
0.5,1.6888759158428672e+18,0.499867431640625,-3.5893266201019287,-2.222006916999817,-5.088047981262207,1.6888759158428672e+18,0.499867431640625,5.426622629165649,-4.4243292808532715,-8.26032280921936,1.6888759158428672e+18,0.499867431640625,8.993147850036621,-2.1865772008895874,-3.2369881868362427,1.688875915847202e+18,0.5042023111979167,-2.679865757624308,3.74918540318807,-1.1695524056752522,1.6888759158428672e+18,0.499867431640625,-2.7948611974716187,3.711693525314331,-1.1636219024658203,,,,,,,,,,,,1.6888759158411215e+18,0.4981214843749999,-39.37671966552735,19.666400146484374,27.95751953125,1.6888759158411215e+18,0.4981214843749999,-295.00330810546876,114.52139739990234,-105.16887664794922,1.6888759158428767e+18,0.4998768717447917,0.42941810687383014,0.09681122004985805,-0.17798804243405653,0.879447321097056,0.3385854164759318,0.2329423626263936,-0.9489272832870483,1.6888759158428672e+18,0.499867431640625,5.40389084815979,-4.408775806427002,-8.324928760528564
