seconds_elapsed_rounded,accelerometer_time,accelerometer_seconds_elapsed,accelerometer_z,accelerometer_y,accelerometer_x,accelerometeruncalibrated_time,accelerometeruncalibrated_seconds_elapsed,accelerometeruncalibrated_z,accelerometeruncalibrated_y,accelerometeruncalibrated_x,gravity_time,gravity_seconds_elapsed,gravity_z,gravity_y,gravity_x,gyroscope_time,gyroscope_seconds_elapsed,gyroscope_z,gyroscope_y,gyroscope_x,gyroscopeuncalibrated_time,gyroscopeuncalibrated_seconds_elapsed,gyroscopeuncalibrated_z,gyroscopeuncalibrated_y,gyroscopeuncalibrated_x,location_time,location_seconds_elapsed,location_bearingAccuracy,location_speedAccuracy,location_verticalAccuracy,location_horizontalAccuracy,location_speed,location_bearing,location_altitude,location_longitude,location_latitude,magnetometer_time,magnetometer_seconds_elapsed,magnetometer_z,magnetometer_y,magnetometer_x,magnetometeruncalibrated_time,magnetometeruncalibrated_seconds_elapsed,magnetometeruncalibrated_z,magnetometeruncalibrated_y,magnetometeruncalibrated_x,orientation_time,orientation_seconds_elapsed,orientation_qz,orientation_qy,orientation_qx,orientation_qw,orientation_roll,orientation_pitch,orientation_yaw
0.0,1.6887025807121357e+18,60.007135579427086,4.066371997197469,10.085848808288574,0.8793147802352905,1.6887025807121357e+18,60.007135579427086,0.8913264324267706,0.7928219189246496,1.1316056648890178,1.6887025807121357e+18,60.007135579427086,-3.180891672770182,-9.275522549947103,0.1896034789582093,1.6887025807034842e+18,59.99848429361979,-2.683123826980591,-4.4938812255859375,0.1457931647698084,1.6887025807034842e+18,59.99848429361979,-2.684040069580078,-4.489197810490926,0.1480839153130849,1.6887025807207854e+18,60.01578540039063,0.0,0.0,4.081239700317383,7.256999969482422,2.693367719650269,0.8125824928283691,43.400001525878906,-122.7524014,49.1883282,1.688702580703656e+18,59.998655859375006,10.294359970092774,49.295319366455075,1.903199937939644,1.688702580703656e+18,59.998655859375006,-244.2464385986328,144.76031799316405,-131.3085968017578,1.6887025807121357e+18,60.007135579427086,-0.5727420647939047,0.8186744650204977,-0.0261790379881858,0.0168765590836603,-1.038697083791097,1.2198181947072346,-0.0703371663888295
0.05,1.6887025807553818e+18,60.0503818359375,3.370140314102173,7.466184139251709,-0.3483700454235076,1.6887025807553818e+18,60.0503818359375,0.3960121423006058,-1.86729896068573,0.4645066931843757,1.6887025807553818e+18,60.0503818359375,-2.9799742698669434,-9.315978527069092,0.750189334154129,1.6887025807553882e+18,60.05038802083334,-0.9921469589074452,0.2229657856126626,0.2307543472076455,1.6887025807553882e+18,60.05038802083334,-0.9931141833464304,0.2277000385026135,0.2330450892137984,,,,,,,,,,,,1.688702580753661e+18,60.04866103515625,9.001159858703613,49.60519866943359,-2.3423999547958374,1.688702580753661e+18,60.04866103515625,-245.53963623046872,145.0701934814453,-135.55419921875,1.6887025807553818e+18,60.0503818359375,-0.5809186100959778,0.8105964064598083,-0.0720348022878169,0.0162172317504882,-2.966469645500183,1.2348791360855105,-0.3017966598272323
0.1,1.6887025807986414e+18,60.093641601562496,1.611360788345337,2.7413970629374185,2.8782339493433633,1.6887025807986414e+18,60.093641601562496,-1.3573286632696788,-6.557929118474324,4.0410787264506025,1.6887025807986414e+18,60.093641601562496,-2.9745354652404785,-9.281821568806969,1.100157340367635,1.6887025808072916e+18,60.10229150390625,0.967559645573298,6.137312173843384,-1.544827292362849,1.6887025808072916e+18,60.10229150390625,0.9665924608707428,6.141995429992676,-1.5425365666548412,,,,,,,,,,,,1.688702580803661e+18,60.09866098632813,8.962119865417481,49.37827835083008,-3.962559938430786,1.688702580803661e+18,60.09866098632813,-245.57867431640625,144.84327697753906,-137.1743591308594,1.6887025807986414e+18,60.093641601562496,0.5777947306632996,-0.8137033979098002,0.0289487520543237,0.0381573094055056,-2.8577014605204263,1.2221635580062866,-0.2705555111169815
0.15,1.6887025808505457e+18,60.14554549153646,-15.183046499888102,-33.995443979899086,8.935733636220297,1.6887025808505457e+18,60.14554549153646,-19.197018305460613,-42.73840459187826,10.861022154490152,1.6887025808505457e+18,60.14554549153646,-4.0198179880778,-8.725454966227213,1.862600882848104,1.6887025808591903e+18,60.15419067382813,0.9633853832880656,8.068358739217123,-5.391140143076579,1.6887025808591903e+18,60.15419067382813,0.962367316087087,8.072991371154785,-5.388849417368571,,,,,,,,,,,,1.6887025808536653e+18,60.14866513671875,15.618439865112304,46.96999969482422,-5.697399997711182,1.6887025808536653e+18,60.14866513671875,-238.92235717773437,142.43499755859375,-138.90919799804686,1.6887025808505457e+18,60.14554549153646,0.4933865169684092,-0.835708737373352,-0.1315033808350562,0.1858229885498682,-2.743389368057251,1.0748067895571392,0.0718238999446232
0.2,1.688702580902448e+18,60.19744799804687,-5.24970014890035,-8.684608141581217,-5.432862122853597,1.688702580902448e+18,60.19744799804687,-10.466804583867392,-16.447664896647137,-2.3924237887064614,1.688702580902448e+18,60.19744799804687,-5.222950458526611,-7.745552221934001,2.977750857671102,1.6887025809110948e+18,60.20609480794271,-2.8303932348887124,-2.0512345830599465,-1.5279776255289714,1.6887025809110948e+18,60.20609480794271,-2.8313094774881997,-2.046551396449407,-1.5256868998209636,,,,,,,,,,,,1.688702580903659e+18,60.19865908203125,23.763159561157227,43.03427963256836,-10.848239707946778,1.688702580903659e+18,60.19865908203125,-230.7776336669922,138.49927368164063,-144.0600372314453,1.688702580902448e+18,60.19744799804687,0.3940873742103576,-0.864113430182139,-0.1772887905438741,0.2569136470556259,-2.6426305770874023,0.8828385273615519,0.165457434952259
0.25,1.6887025809543462e+18,60.249346272786454,53.46407699584961,-2.1656082471211757,-9.07923412322998,1.6887025809543462e+18,60.249346272786454,46.120260874430336,-8.183254023392996,-6.678767045338948,1.6887025809543462e+18,60.249346272786454,-7.349663098653157,-6.000140984853108,2.3377793629964194,1.6887025809543514e+18,60.24935144042969,-3.036763906478882,-7.751498222351075,-5.287420392036437,1.6887025809543514e+18,60.24935144042969,-3.037680149078369,-7.746840476989746,-5.285129651427269,,,,,,,,,,,,1.6887025809536612e+18,60.248661328125,36.15591888427734,34.772439575195314,-9.418399906158449,1.6887025809536612e+18,60.248661328125,-218.38487854003907,130.23743743896483,-142.63019409179688,1.6887025809543462e+18,60.249346272786454,0.2999786635239919,-0.936704655488332,-0.0822252941628296,0.1503862341245015,-2.8476434548695884,0.6299310922622681,0.0764985332886377
0.3,1.688702581006255e+18,60.30125512695312,-2.6681509017944336,-0.7747149467468262,-5.881926854451497,1.688702581006255e+18,60.30125512695312,-9.197810808817543,-7.4995048840840655,-2.9553353786468506,1.688702581006255e+18,60.30125512695312,-6.535505930582683,-6.707285404205322,2.8639042377471924,1.6887025809976005e+18,60.29260050455729,-0.6921103273828825,2.710001786549886,3.9237402280171714,1.6887025809976005e+18,60.29260050455729,-0.693128414452076,2.714583416779836,3.926030953725179,,,,,,,,,,,,1.6887025810036577e+18,60.29865791015625,32.94243965148926,37.3173583984375,-11.5119197845459,1.6887025810036577e+18,60.29865791015625,-221.59835510253907,132.78235473632813,-144.72371520996094,1.688702581006255e+18,60.30125512695312,0.350933293501536,-0.9181113839149476,-0.052011868606011,0.1741421570380528,-2.7514143784840903,0.7245819369951884,-0.0375979385959604
0.35,1.6887025810581542e+18,60.35315413411458,1.5285022258758545,8.246725718180338,-4.641769727071126,1.6887025810581542e+18,60.35315413411458,-3.8233317534128823,0.405982236067454,-2.099502444267273,1.6887025810581542e+18,60.35315413411458,-5.357680002848308,-7.823239167531331,2.47957992553711,1.688702581049504e+18,60.34450398763021,0.2194533385336399,-1.9302324056625368,3.4784704049428306,1.688702581049504e+18,60.34450398763021,0.218537038192153,-1.9254981676737468,3.4807611306508384,,,,,,,,,,,,1.688702581053658e+18,60.34865791015625,25.19787940979004,42.62192001342773,-10.962919807434082,1.688702581053658e+18,60.34865791015625,-229.342919921875,138.08692016601563,-144.17471923828126,1.6887025810581542e+18,60.35315413411458,0.4355507890383402,-0.8859616120656332,-0.0332286258538563,0.1528904438018798,-2.741431474685669,0.898985763390859,-0.1200028310219446
0.4,1.6887025811100608e+18,60.40506062825521,1.9482098420461016,3.5714543660481772,-7.569679578145345,1.6887025811100608e+18,60.40506062825521,-2.385644268244505,-5.0153563022613525,-5.542574882507324,1.6887025811100608e+18,60.40506062825521,-4.3397001425425215,-8.569306055704752,1.9644174575805664,1.688702581101411e+18,60.39641088867188,-1.5160656968752544,-4.053141832351685,3.4383060137430825,1.688702581101411e+18,60.39641088867188,-1.5169820586840312,-4.0485603014628095,3.4405967394510903,,,,,,,,,,,,1.688702581103659e+18,60.39865913085937,18.500079345703124,46.11599960327148,-9.018239784240723,1.688702581103659e+18,60.39865913085937,-236.04071960449215,141.58099670410155,-142.23003845214845,1.6887025811100608e+18,60.40506062825521,0.5093240141868591,-0.8545935750007629,0.0420729327015578,0.0824121857682863,-2.76283860206604,1.045101284980774,-0.3192703078190484
0.45,1.6887025811619668e+18,60.45696712239583,18.438470204671223,-28.17020543416341,-3.8301246960957847,1.6887025811619668e+18,60.45696712239583,15.422739187876385,-37.37967872619629,-2.242274284362793,1.6887025811619668e+18,60.45696712239583,-3.0215773582458496,-9.19196923573812,1.525162974993388,1.6887025811533176e+18,60.44831762695313,2.1962642470995584,3.520416498184204,2.5360070864359536,1.6887025811533176e+18,60.44831762695313,2.1951952377955117,3.525150616963705,2.5382978518803916,,,,,,,,,,,,1.6887025811536591e+18,60.44865908203125,12.024319744110109,47.95575790405273,-8.36675968170166,1.6887025811536591e+18,60.44865908203125,-242.51647338867187,143.4207550048828,-141.57855529785155,1.6887025811619668e+18,60.45696712239583,0.5708242257436117,-0.8135817845662435,0.0195883388320605,0.074863647421201,-2.7419371604919434,1.1988444725672405,-0.3204371954003969
