time,relativeAltitude,pressure
-0.502122314453125,0.0,1011.9830322265624
0.529096435546875,-0.0079269409179687,1011.9841003417968
1.560273681640625,-0.0158538818359375,1011.9852447509766
2.591571533203125,-0.0158538818359375,1011.9852447509766
3.6228447265625,0.0264225006103515,1011.9798278808594
3.817202392578125,0.132115364074707,1011.9673919677734
4.881670654296875,0.4227705001831054,1011.9325256347656
5.946177734375,0.8323307037353516,1011.8830871582032
7.01063671875,1.2048978805541992,1011.8385314941406
8.075086669921875,1.6937265396118164,1011.7800903320312
9.139480712890624,2.150848388671875,1011.7252349853516
10.20391796875,2.5102033615112305,1011.6818237304688
11.268372802734374,2.8695592880249023,1011.6387176513672
12.33278466796875,3.4482269287109375,1011.569366455078
13.39722265625,3.897420883178711,1011.5155792236328
14.4616025390625,4.486659049987793,1011.4450073242188
15.526042724609376,5.06796932220459,1011.3751220703124
16.590505615234374,5.64399528503418,1011.3060760498048
17.65496484375,6.146036148071289,1011.2458038330078
18.719420654296876,6.740556716918945,1011.1744689941406
19.783842529296876,7.276948928833008,1011.1102294921876
20.848289794921875,7.741996765136719,1011.0543060302734
21.912685546875,8.238752365112305,1010.9947204589844
22.97707861328125,8.73550796508789,1010.935287475586
24.04146948242187,9.155637741088867,1010.8847808837892
25.10591357421875,9.636539459228516,1010.8271026611328
26.170294921875,10.120084762573242,1010.7691955566406
27.2346826171875,10.635335922241213,1010.7073211669922
28.29911083984375,11.12416648864746,1010.6488800048828
29.363519775390625,11.684337615966797,1010.5817413330078
30.42796166992187,12.125604629516602,1010.5288696289062
31.492413818359378,12.521953582763672,1010.4814910888672
32.55684765625,12.891878128051758,1010.4368591308594
