time,yaw,qx,qz,roll,qw,qy,pitch
0.01980419921875,-0.5575417813422658,0.10803746922417587,0.04717972401731351,-0.5827360825942826,-0.6960319494694327,0.18308540229036532,-0.39400555628124456
0.0298271484375,-0.5818981825193305,0.10668483149828839,0.056694432053638645,-0.5798943195423242,-0.6933396984492285,0.18399537621493292,-0.392690304968597
0.03985009765625,-0.6060290438138756,0.10537822043651288,0.06619241485779288,-0.5770670872904575,-0.6906592938524367,0.18489541554402603,-0.3913285426003758
0.049873046875,-0.6298858351266571,0.10412577081960443,0.07565843684601141,-0.574268474876262,-0.6879932516042226,0.18578722906744286,-0.3899271321735282
0.05989599609375,-0.6534208130631961,0.10293567625359311,0.08507717771895944,-0.5715132061892485,-0.6853439941189128,0.18667273421972097,-0.38849323914049944
0.069919189453125,-0.6765871859897146,0.1018161636615868,0.09443327431858164,-0.5688166041856896,-0.6827138473321497,0.1875540517402054,-0.3870343112157821
0.079942138671875,-0.6993392751858831,0.10077546733203747,0.10371136271470252,-0.566194551913102,-0.6801050381339867,0.188433499267043,-0.3855580571421289
0.08996533203125,-0.7216326714557941,0.0998218026082271,0.11289612038122383,-0.5636634504477012,-0.6775196922060689,0.18931358388563055,-0.3840724244910675
0.099987060546875,-0.74342438657795,0.09896333930567203,0.12197230832154661,-0.5612401738610059,-0.6749598322645338,0.19019699365662518,-0.3825855765755338
0.110010009765625,-0.764672998996988,0.09820817494584858,0.13092481300314282,-0.5589420213442239,-0.6724273767087801,0.19108658815311902,-0.3811058685553283
0.120033203125,-0.7853387931843004,0.09756430789597738,0.13973868796201364,-0.5567866666311673,-0.6699241386747377,0.19198538804094425,-0.37964182281863923
0.130055908203125,-0.805383892121461,0.09703961050567862,0.14839919493908968,-0.5547921048720698,-0.6674518254897873,0.19289656374032818,-0.3782021037251441
0.1400791015625,-0.8247723823894332,0.09664180233203058,0.1568918444124498,-0.5529765971218336,-0.6650120385249764,0.19382342321120707,-0.3767954917980883
0.15010205078125,-0.8434704313776551,0.09637842354499064,0.16520243539155316,-0.5513586126168748,-0.6626062734387315,0.19476939890844572,-0.37543085745435983
0.160125,-0.8614463961603194,0.09625680860521399,0.1733170943424807,-0.5499567690247958,-0.6602359208048041,0.19573803395695813,-0.37411713436280825
0.170148193359375,-0.8786709236220981,0.09628406030607217,0.18122231311645692,-0.5487897708605443,-0.6579022671157748,0.1967329676002833,-0.37286329252198364
0.180171142578125,-0.8951170414523598,0.09646702427110306,0.18890498575766201,-0.5478763462715696,-0.6556064961520626,0.19775791997951545,-0.3716783111490619
0.190193115234375,-0.910760239665135,0.09681226399721755,0.1963524440705259,-0.5472351824025635,-0.6533496907050174,0.19881667630260577,-0.3705711514719293
0.20021630859375,-0.9255785423417813,0.09732603653278003,0.20355249183130145,-0.5468848595578503,-0.651132834641404,0.1999130704669428,-0.3695507295163667
0.210239013671875,-0.93955256933416,0.09801426887810673,0.21049343753374547,-0.5468437843861325,-0.6489568152952913,0.20105096820074547,-0.3686258889797907
0.220261962890625,-0.9526655877080522,0.09888253519407438,0.21716412556413822,-0.5471301223182292,-0.6468224261721858,0.20223424979118423,-0.36780537428228055
0.230284912109375,-0.9649035527493589,0.09993603490233183,0.22355396570665692,-0.5477617294935954,-0.6447303699490983,0.20346679246924276,-0.367097803884563
0.24030810546875,-0.9762551383990755,0.10117957175811168,0.22965296088624584,-0.5487560844156537,-0.6426812617531339,0.20475245252315943,-0.36651164396117997
0.2503310546875,-0.9867117570270407,0.10261753397384325,0.23545173306257647,-0.5501302195795538,-0.6406756327001987,0.20609504721382652,-0.3660551825154174
0.260354248046875,-0.9962675684987572,0.10425387546867272,0.24094154719543204,-0.5519006533185186,-0.6387139336744637,0.20749833656676267,-0.3657365040205235
0.270376220703125,-1.004919478534005,0.10609209831561482,0.2461143332088776,-0.5540833221167815,-0.636796539328352,0.20896600511622596,-0.3655634646694856
0.28039892578125,-1.0126671264003475,0.10813523645441156,0.25096270588882336,-0.5566935136379793,-0.6349237522820217,0.21050164367766597,-0.3655436683130202
0.290421875,-1.0195128620287828,0.11038584073426534,0.2554799826560815,-0.5597458007179252,-0.6330958075006177,0.21210873122505522,-0.36568444316262544
0.300445068359375,-1.025461712682475,0.1128459653464431,0.25966019916466504,-0.5632539765698299,-0.6313128768269152,0.21379061694965767,-0.3659928193324184
0.310468017578125,-1.0305213393526058,0.11551715570235567,0.26349812268290324,-0.5672309914482884,-0.6295750736464677,0.21555050257651434,-0.36647550729014605
0.3204912109375,-1.0347019830976893,0.11840043780810493,0.26698926322289207,-0.5716888910157643,-0.6278824576618859,0.21739142501432868,-0.3671388772841967
0.33051416015625,-1.038016401584015,0.12149630918165914,0.2701298823918389,-0.5766387566517939,-0.6262350397525529,0.21931623941353523,-0.3679889398096428
0.340537353515625,-1.0404797961250658,0.12480473135381802,0.2729169999469682,-0.5820906479407807,-0.6246327868957803,0.22132760270613336,-0.36903132717238746
0.350559814453125,-1.0421097295566486,0.1283251239889382,0.27534839804379835,-0.5880535475690397,-0.6230756271252691,0.2234279576993613,-0.3702712762063067
0.36058203125,-1.0429260353218395,0.1320563606560698,0.2774226231757379,-0.5945353088557037,-0.6215634545026393,0.22561951779349335,-0.3717136121939857
0.37060498046875,-1.042950718175637,0.1359967662756659,0.27913898581107427,-0.6015426061351838,-0.6200961340778378,0.2279042523919489,-0.37336273403715714
0.380628173828125,-1.0422078469531917,0.14014411626147166,0.28049755774148155,-0.6090808882012496,-0.6186735068143298,0.23028387306954956,-0.3752226007183745
