time,altitude,speedAccuracy,bearingAccuracy,latitude,altitudeAboveMeanSeaLevel,bearing,horizontalAccuracy,verticalAccuracy,longitude,speed
-42.82196923828125,57.65724182128907,-1.0000000000000004,-0.9999999999999979,49.27482224918131,76.6958122253418,-1.0,48.99999999999999,33.00075912475587,-122.87199266460127,-1.0000000000000009
-33.82196923828125,57.65724182128906,-1.0,-0.9999999999999962,49.27482224918132,76.6958122253418,-1.000000000000002,49.0,33.00075912475586,-122.87199266460127,-1.0000000000000002
0.58522509765625,57.65716934204102,-1.0000000000000002,-1.0,49.27480636193657,76.69573974609376,-1.0000000000000067,49.17869961891716,48.90576171875,-122.87192510848921,-1.0000000000000007
1.12252001953125,82.97088623046876,0.6200000047683716,12.929959617731633,49.27502433773994,102.0094566345215,1.0546874999999967,7.971875229715869,16.0,-122.87253233615577,3.099999904632568
1.309245849609375,58.676513671875,1.0099999904632568,20.851669366173073,49.27501645875095,77.71508407592775,355.4296875,8.460292779728274,3.9999999999999964,-122.87251238722622,3.119999885559081
2.315525146484375,58.60882568359374,1.090000033378601,42.674448198349396,49.27501323171824,77.64739608764647,26.015625000000007,4.460464895601471,4.0,-122.8724031710279,3.099999904632569
3.31939697265625,58.58459472656251,0.7500000000000001,23.584281204028024,49.275020733521586,77.62316513061523,27.773437499999982,4.319940311754406,6.0,-122.87237014632942,2.02999997138977
4.323545166015625,58.3287353515625,0.9599999785423279,20.74138230164488,49.27504269410789,77.36730575561522,28.476562500000007,4.177734201031414,6.000000000000001,-122.8723448329818,2.0299999713897705
5.323494873046875,58.1279296875,0.8100000023841858,16.158282679884003,49.275069600017076,77.16650009155272,29.88281249999998,3.95353932601471,6.000000000000003,-122.87231750797748,3.2599999904632564
6.29457373046875,58.696533203125,0.800000011920929,13.22345113881979,49.27510078069688,77.73510360717773,30.5859375,3.879835449528517,4.000000000000002,-122.87228565674543,3.930000066757202
7.294663330078125,59.70739746093749,0.8399999737739562,12.74360559019065,49.2751344340381,78.74596786499025,29.531249999999968,3.5355339059327378,4.0,-122.87224886019051,3.9300000667572013
8.29475341796875,59.028564453125,0.9700000286102297,15.373451255567234,49.27516988948852,78.06713485717772,26.015624999999996,3.535533905932737,4.0000000000000036,-122.8722155002159,4.099999904632568
9.2948447265625,57.91406250000001,0.740000009536743,11.688226957755084,49.275202914187005,76.95263290405272,27.421875000000007,3.5355339059327378,3.999999999999999,-122.87218079913673,4.099999904632568
10.294939208984376,57.6795654296875,0.8100000023841855,10.854385511048878,49.275238034361294,76.71813583374023,31.9921875,3.535533905932739,4.000000000000003,-122.87214173946799,4.840000152587889
11.29502001953125,57.506225585937486,0.949999988079071,14.020945733857769,49.27527214870721,76.54479598999023,36.91406249999999,3.5355339059327373,3.999999999999999,-122.87210024904725,4.840000152587891
12.29510107421875,57.26098632812499,0.949999988079071,15.117927048527884,49.275303371296516,76.29955673217773,35.156249999999986,3.537593886390824,3.0000000000000027,-122.87206454213977,4.389999866485594
13.295173583984376,57.26098789740354,0.9499999881785798,15.11792704852783,49.27533564366369,76.29955830145629,35.15627632610608,4.5828063893211715,3.580841050756903,-122.87202980440934,4.389999866484555
14.295239990234377,55.874513078480966,0.7300000191849404,11.822944755170768,49.275368558285706,74.9130834825337,30.23439634375486,4.5823580056827735,3.5814148238571573,-122.87200746115198,4.0700001716605465
15.295302978515624,54.37359771504998,1.1100000143875886,16.561789765480846,49.27540868465165,73.41216811910273,26.71877022859639,4.582358153404829,3.5814146348493447,-122.871983451651,4.320000171660385
16.2953662109375,52.93902740254999,0.8299999834211382,13.411861907074593,49.27544615419255,71.97759780660272,26.015644734096576,4.5823582963979055,3.581414451892173,-122.87195988046548,4.320000171660385
