time,relativeAltitude,pressure
-0.514381591796875,0.0,1010.3451538085938
0.516733154296875,-0.0713424682617187,1010.3536224365234
1.547810302734375,-0.1426849365234375,1010.3620910644532
2.578915283203125,-0.3065090179443359,1010.3818511962892
3.610023193359375,-0.3197193145751953,1010.3833770751952
3.80454638671875,-0.539031982421875,1010.4096221923828
4.86880322265625,-0.6500091552734375,1010.4231262207032
5.93310107421875,-1.0146503448486328,1010.466766357422
6.997389404296875,-1.4559173583984375,1010.5196380615234
8.06168212890625,-2.06893539428711,1010.593032836914
9.125989013671877,-2.711019515991211,1010.6699371337892
10.190283203125,-3.421802520751953,1010.7551574707032
11.254615234375,-4.132587432861328,1010.8406066894532
12.318922119140623,-4.758817672729492,1010.91552734375
13.38320751953125,-5.403543472290039,1010.9928131103516
14.447478271484377,-6.064123153686523,1011.072006225586
15.511711181640624,-6.759052276611328,1011.1553192138672
16.57596923828125,-7.403779983520508,1011.2328338623048
17.64025244140625,-8.061716079711914,1011.3117980957032
18.704558349609375,-8.719654083251953,1011.3905334472656
19.768831298828125,-9.287753105163574,1011.458740234375
20.833119384765624,-9.8981294631958,1011.5319061279296
21.89744921875,-10.487366676330566,1011.6026306152344
22.961763427734375,-11.042253494262695,1011.6691589355468
24.026022216796875,-11.591856002807615,1011.7350769042968
25.0903173828125,-12.1441011428833,1011.8013763427734
26.1546552734375,-12.511383056640623,1011.8453979492188
27.2189814453125,-12.820534706115724,1011.8826293945312
