filename,dominant_frequency_x,dominant_frequency_y,dominant_frequency_z,activity
walking_1_grouped_11_1.csv,1.0067114093959733,1.0067114093959733,1.0067114093959733,walking
jogging_1_grouped_8.csv,0.06711409395973154,1.4093959731543624,1.4093959731543624,running
walking_uphill_2_grouped_2_1.csv,1.0067114093959733,1.0067114093959733,1.0067114093959733,walking
jogging_3_grouped_3.csv,1.4093959731543624,1.4093959731543624,2.8187919463087248,running
leg_swing_grouped_3_1.csv,0.07042253521126761,0.2112676056338028,0.5633802816901409,unknown
decline_run_1_grouped_1_1.csv,0.06711409395973154,0.06711409395973154,1.610738255033557,running
standing_2_grouped_2.csv,0.20134228187919462,0.20134228187919462,0.06711409395973154,stand
standing_2_grouped_3.csv,0.20134228187919462,0.20134228187919462,0.06711409395973154,stand
jogging_1_grouped_7_1.csv,0.06711409395973154,1.4093959731543624,1.4093959731543624,running
walking_1_grouped_7_1.csv,0.9395973154362416,0.9395973154362416,0.9395973154362416,walking
walk_1_grouped_1_1.csv,0.8108108108108109,0.06756756756756757,0.8108108108108109,walking
incline_run_2_grouped_1_1.csv,1.610738255033557,0.06711409395973154,1.610738255033557,running
jogging_3_grouped_2.csv,1.4093959731543624,1.4093959731543624,2.8859060402684564,running
jogging_1_grouped_9.csv,1.4093959731543624,1.4093959731543624,1.4093959731543624,running
walking_2_grouped_8_1.csv,1.0067114093959733,1.0067114093959733,1.0067114093959733,walking
walk_1_grouped_3_1.csv,0.8053691275167785,0.87248322147651,0.87248322147651,walking
walk_1_grouped.csv,0.8529854490717511,0.02007024586051179,0.8529854490717511,walking
jogging_1_grouped_5_1.csv,1.4093959731543624,1.4093959731543624,1.4093959731543624,running
walking_1_grouped_14.csv,1.0067114093959733,1.0067114093959733,1.0067114093959733,walking
walking_down_stairs_1_grouped_1.csv,0.06802721088435375,0.1360544217687075,1.0204081632653061,walking
jogging_3_grouped_10_1.csv,0.35714285714285715,1.25,0.17857142857142858,running
walking_1_grouped_5_1.csv,1.0067114093959733,1.0067114093959733,1.0067114093959733,walking
standing_2_grouped_1.csv,0.06802721088435375,0.06802721088435375,0.06802721088435375,stand
hand_motions_grouped.csv,1.3105413105413106,1.3105413105413106,1.2535612535612537,unknown
walking_1_grouped_15.csv,0.06711409395973154,1.0067114093959733,1.0067114093959733,walking
jogging_3_grouped_1.csv,0.06756756756756757,0.06756756756756757,0.06756756756756757,running
walking_1_grouped_13_1.csv,1.0067114093959733,1.0067114093959733,1.0067114093959733,walking
standing__1_grouped_8_1.csv,0.06711409395973154,0.1342281879194631,0.06711409395973154,stand
leg_swing_grouped_1_1.csv,0.06802721088435375,0.06802721088435375,0.54421768707483,unknown
incline_run_1_grouped.csv,1.5428571428571427,0.02857142857142857,0.02857142857142857,running
jogging_3_grouped_9_1.csv,1.4093959731543624,1.4093959731543624,1.4093959731543624,running
jogging_3_grouped_5.csv,1.476510067114094,1.476510067114094,2.8859060402684564,running
walking_uphill_2_grouped_4_1.csv,0.08849557522123894,0.9734513274336283,0.9734513274336283,walking
walking_5_grouped_13_1.csv,2.0805369127516777,1.0067114093959733,1.0067114093959733,walking
walking_1_grouped_11.csv,1.0067114093959733,1.0067114093959733,1.0067114093959733,walking
sprint_uphill_1_grouped_2_1.csv,0.07042253521126761,0.2112676056338028,1.4788732394366197,running
standing_2_grouped_4.csv,0.06711409395973154,0.06711409395973154,0.06711409395973154,stand
leg_swing_grouped.csv,0.022675736961451247,0.06802721088435373,0.5215419501133787,unknown
standing_2_grouped_5.csv,0.06711409395973154,0.06711409395973154,0.06711409395973154,stand
walking_5_grouped.csv,0.004701457451810061,1.0343206393982134,1.0343206393982134,walking
walking_1_grouped_10.csv,1.0067114093959733,1.0067114093959733,1.0067114093959733,walking
walk_1_grouped_7_1.csv,0.8053691275167785,0.8053691275167785,0.8053691275167785,walking
jogging_3_grouped_4.csv,0.738255033557047,2.8859060402684564,2.8859060402684564,running
walking_1_grouped_1_1.csv,0.06802721088435375,0.06802721088435375,0.9523809523809524,walking
walk_1_grouped_12_1.csv,0.06711409395973154,0.5369127516778524,0.5369127516778524,walking
walking_downhill_2_grouped_1_1.csv,0.06802721088435375,0.20408163265306123,1.08843537414966,walking
jogging_1_grouped_1_1.csv,0.06756756756756757,0.06756756756756757,1.3513513513513513,running
walking_5_grouped_8_1.csv,2.0805369127516777,1.0067114093959733,1.0067114093959733,walking
walk_1_grouped_10_1.csv,0.8053691275167785,0.8053691275167785,0.8053691275167785,walking
walking_1_grouped_3_1.csv,1.0067114093959733,1.0067114093959733,1.0067114093959733,walking
walking_downhill_2_grouped_3_1.csv,2.1476510067114094,1.0738255033557047,1.0738255033557047,walking
jogging_1_grouped_3_1.csv,0.06711409395973154,2.751677852348993,2.751677852348993,running
jogging_3_grouped_6.csv,1.4093959731543624,1.4093959731543624,2.8859060402684564,running
walking_down_stairs_1_grouped_1_1.csv,0.06802721088435375,0.1360544217687075,1.0204081632653061,walking
walking_1_grouped_12.csv,0.9395973154362416,0.9395973154362416,0.9395973154362416,walking
standing_2_grouped_7.csv,0.20134228187919462,0.20134228187919462,0.06711409395973154,stand
walk_1_grouped_5_1.csv,0.8053691275167785,0.8053691275167785,0.8053691275167785,walking
standing_2_grouped_6.csv,0.06711409395973154,0.06711409395973154,0.06711409395973154,stand
walking_1_grouped_13.csv,1.0067114093959733,1.0067114093959733,1.0067114093959733,walking
walking_5_grouped_11_1.csv,2.0805369127516777,2.0805369127516777,1.0738255033557047,walking
