time,Barometer_relativeAltitude,Barometer_pressure,Location_altitude,Location_speedAccuracy,Location_bearingAccuracy,Location_latitude,Location_altitudeAboveMeanSeaLevel,Location_bearing,Location_horizontalAccuracy,Location_verticalAccuracy,Location_longitude,Location_speed,Orientation_yaw,Orientation_qx,Orientation_qz,Orientation_roll,Orientation_qw,Orientation_qy,Orientation_pitch,Magnetometer_z,Magnetometer_y,Magnetometer_x,GyroscopeUncalibrated_z,GyroscopeUncalibrated_y,GyroscopeUncalibrated_x,MagnetometerUncalibrated_z,MagnetometerUncalibrated_y,MagnetometerUncalibrated_x,Accelerometer_z,Accelerometer_y,Accelerometer_x,AccelerometerUncalibrated_z,AccelerometerUncalibrated_y,AccelerometerUncalibrated_x,Gyroscope_z,Gyroscope_y,Gyroscope_x,Gravity_z,Gravity_y,Gravity_x
3.1,-0.3435020446777344,1010.3458404541016,56.42748108506203,1.2048777484454911,53.23674199694818,49.27503652313396,75.46605148911476,233.72074568271765,4.749026759141241,3.3572729817143663,-122.87246413025348,0.8327338535180597,0.8053725302693776,0.5484933129852332,-0.15473733509034399,0.709146783793509,-0.8102656605965644,-0.08807128724793266,-1.0566457250781311,-20.750736045837403,39.04742584228516,27.934663391113283,1.5211609870195388,2.613257831335068,4.1792141482234,15.934326171875,59.628076171875,160.41875152587892,14.901666674087343,6.570464723755419,-7.388719059983939,1.1540191650390625,1.5410903930664062,-0.43470001220703125,1.4457203030586243,2.7402513295412065,3.8290348410606385,-3.5705839364978673,8.465645550543368,3.094060313137248
3.2,-0.34825820922851564,1010.3464202880859,56.42748108506203,1.2048777484454911,53.23674199694818,49.27503652313396,75.46605148911476,233.72074568271765,4.749026759141241,3.3572729817143663,-122.87246413025348,0.8327338535180597,0.9932762606345775,0.582149721232487,-0.15193760820385954,0.9892347181103244,-0.7835874593495316,-0.1489947362999309,-1.0506865089891797,-18.901414489746095,33.328360366821286,37.446519470214845,-0.7511311778798699,-1.0446043893694879,-2.573321485519409,20.034381442599827,56.26024881998698,167.95300462510852,5.5650049920081335,-7.439176538484692,-9.094860568437278,0.29485626220703126,0.1116851806640625,-0.5115066528320312,-1.0227371141314507,-1.1280060186982155,-2.7683931469917296,-2.6963325055287033,8.491697574262322,4.032800144499391
3.3,-0.3530143737792969,1010.3470001220703,56.42748108506203,1.2048777484454911,53.23674199694818,49.27503652313396,75.46605148911476,233.72074568271765,4.749026759141241,3.3572729817143663,-122.87246413025348,0.8327338535180597,0.06658100722434118,0.6628596680445373,0.06519831809331655,0.2979006877080117,-0.7181428057120576,-0.09548537693295488,-1.3946999183282764,-8.429539680480957,44.857855224609374,25.631808471679687,-4.5802445948123935,7.367215740680694,0.48328648805618285,30.738192749023437,68.10623779296876,155.3513931274414,-4.245546852349043,23.296582854795453,-3.7168089188025517,-0.5951446533203125,3.3428680419921877,-0.3336273193359375,-4.3674332574009895,7.807325184345245,0.7079893570393324,-0.9305673451259449,9.610176761498451,0.5653211931671203
3.4,-0.3577705383300781,1010.3475799560547,56.42748108506203,1.2048777484454911,53.23674199694818,49.27503652313396,75.46605148911476,233.72074568271765,4.749026759141241,3.3572729817143663,-122.87246413025348,0.8327338535180597,-1.7018909521888361,0.6731309756758745,0.17197042336867738,-1.3237460804657073,-0.706188061379043,-0.0916341751328045,-1.4116493403707182,-3.986063766479492,51.71448516845703,12.610627746582031,1.0845098334364593,-4.579213279485702,-2.965008133649826,34.230826241629465,74.30782209123883,143.25179399762834,4.553801660494506,-5.04627684238553,3.5288373173777385,0.47435150146484373,0.4958953857421875,0.26549224853515624,1.2444820404052734,-4.651834528148174,-3.162454402446747,-0.6685807220387586,9.667310853605866,-0.9145485508806164
3.5,-0.36252670288085936,1010.3481597900391,56.42748108506203,1.2048777484454911,53.23674199694818,49.27503652313396,75.46605148911476,233.72074568271765,4.749026759141241,3.3572729817143663,-122.87246413025348,0.8327338535180597,-0.39180247966343507,0.74918309342345,-0.03031542047773248,-0.5006267744715265,-0.6529473184427732,0.046136682398420656,-1.4267771202834931,0.34707183837890626,50.80654602050781,16.49474334716797,-1.1208486557006836,-3.1006373427808285,-0.09886512383818627,38.98225708007813,73.4470932006836,147.12074279785156,-0.5688884864207356,-11.679696444130242,2.4521955766568704,0.01355438232421875,-0.22216033935546875,0.22594146728515624,-1.3622702747583388,-2.0918627858161924,0.01777405738830571,1.3566407753319294,9.704645085030794,-0.15102342398930166
3.6,-0.3672828674316406,1010.3487396240233,56.42748108506203,1.2048777484454911,53.23674199694818,49.27503652313396,75.46605148911476,233.72074568271765,4.749026759141241,3.3572729817143663,-122.87246413025348,0.8327338535180597,-1.4514514370104004,0.7040829828651286,0.14933447728569157,-1.1265781549755736,-0.6860259094419472,-0.07856937858385316,-1.455752459443349,1.3633625030517578,52.12625274658203,12.486958312988282,1.4116680473089218,4.100955665111542,0.10443450435996056,40.0235107421875,74.40363311767578,144.30254669189452,-3.3682855300269,5.392312807392775,11.044124136938004,-0.2851776123046875,1.5322341918945312,1.035150146484375,1.7948055148124695,2.4251201331615446,-0.12446470218710606,0.09336174505003728,9.727265030022263,-0.9830303545915846
3.7,-0.3720390319824219,1010.3493194580077,56.42748108506203,1.2048777484454911,53.23674199694818,49.27503652313396,75.46605148911476,233.72074568271765,4.749026759141241,3.3572729817143663,-122.87246413025348,0.8327338535180597,1.5118472655903825,0.626576594163541,-0.20511523336861903,1.231239217278059,-0.7327023033510531,-0.01448672682495242,-1.1909349212176517,-15.112104606628417,41.51964149475098,26.443727111816408,2.9480019003152846,-6.3785912036895756,5.5398221671581265,20.075829399956596,62.263220893012154,158.19486829969617,-5.995484627848267,19.931127815393804,-3.8407111270444836,-0.8334625244140625,2.9304931640625,-0.128759765625,2.7303105741739273,-4.058345460891724,5.683222436904908,-1.8697969462948945,8.919944847940503,2.5761686508714035
3.8,-0.37679519653320315,1010.3498992919921,56.42748108506203,1.2048777484454911,53.23674199694818,49.27503652313396,75.46605148911476,233.72074568271765,4.749026759141241,3.3572729817143663,-122.87246413025348,0.8327338535180597,0.9965469695759527,0.513783190588674,-0.2270603422661465,0.9457218666298068,-0.803442899932764,-0.1934109429630027,-0.8305671049650021,-23.473983192443846,25.520212936401368,41.05059051513672,0.061444909870624544,2.6461063981056214,-1.7076488077640533,15.675669860839843,48.20253295898438,172.0514343261719,24.768240309235004,-1.413989255455434,-10.789467677215338,2.1630874633789063,0.6318817138671875,-0.5461349487304688,-0.11781279444694522,0.9568993970751765,-1.6741806328296662,-3.8734742657746373,7.23183931768924,5.3413420894467825
3.9,-0.38155136108398435,1010.3504791259764,56.42748108506203,1.2048777484454911,53.23674199694818,49.27503652313396,75.46605148911476,233.72074568271765,4.749026759141241,3.3572729817143663,-122.87246413025348,0.8327338535180597,1.3953181908036736,0.6492431456326206,-0.13873719260902284,1.4178760224641764,-0.7260919762379705,-0.15413033496156808,-1.127652094788406,-10.832094955444337,35.3842269897461,38.280635070800784,-4.297178256511688,1.5669564243406058,-3.4014449596405028,29.202635023328995,59.34960428873698,167.98806423611111,-0.758011577701922,1.1480655225610736,-9.611985622938274,-0.1488739013671875,0.9510574340820312,-0.57135009765625,-4.744199168682099,2.0995350226759912,-3.2720672607421877,-0.968417241348108,8.757030355526208,3.9491149346575143
4.0,-0.3863075256347656,1010.3510589599608,56.42748108506203,1.2048777484454911,53.23674199694818,49.27503652313396,75.46605148911476,233.72074568271765,4.749026759141241,3.3572729817143663,-122.87246413025348,0.8327338535180597,-0.5373870716163798,0.6612633881813127,0.19947343434452933,-0.6721072074592153,-0.7037891595780043,-0.14441922845392974,-1.4369265129939373,0.2111286163330078,50.73215560913086,16.479588317871094,-1.8485285960137845,4.238715639710426,2.236443376541138,38.77894744873047,73.64192962646484,146.48083953857423,6.3452108622081935,16.209661185058952,5.244171112053096,0.5412277221679688,2.695086669921875,0.4667144775390625,-1.2349526673555373,2.813581083342433,2.004937022924423,-0.7809967210102826,9.703980308285654,-0.5505483440335234
