time,TotalAcceleration_z,TotalAcceleration_y,TotalAcceleration_x,Location_bearingAccuracy,Location_speedAccuracy,Location_verticalAccuracy,Location_horizontalAccuracy,Location_speed,Location_bearing,Location_altitude,Location_longitude,Location_latitude,Orientation_qz,Orientation_qy,Orientation_qx,Orientation_qw,Orientation_roll,Orientation_pitch,Orientation_yaw,Magnetometer_z,Magnetometer_y,Magnetometer_x,GyroscopeUncalibrated_z,GyroscopeUncalibrated_y,GyroscopeUncalibrated_x,MagnetometerUncalibrated_z,MagnetometerUncalibrated_y,MagnetometerUncalibrated_x,Accelerometer_z,Accelerometer_y,Accelerometer_x,AccelerometerUncalibrated_z,AccelerometerUncalibrated_y,AccelerometerUncalibrated_x,Gyroscope_z,Gyroscope_y,Gyroscope_x,Gravity_z,Gravity_y,Gravity_x
3.1,4.921802849480601,-8.056214654987508,-2.716522146806572,0.0,0.0,1.6948399066925048,8.906399726867676,0.00030400376126628,0.0,19.727837951262472,-122.7500578,49.19297908,-0.7619631337848576,0.47831118693857483,0.009133628153270396,0.10218369254531956,0.3675183944093684,1.0935760980302636,2.668479399247603,-35.216518783569335,36.60365943908691,6.691699779219926,-0.09166102677629556,0.7509396768908836,0.12793173128033453,-292.4071533203125,129.78329277038574,-129.0622714996338,1.082549158370856,1.8748909957481152,0.03227606370593572,5.268175175469933,-6.831286591622329,-1.1633015460137164,-0.5216534634431204,-3.2641838788986206,1.5875369509061177,4.1628246253187005,-8.690432422088854,-1.2602911077891334
3.2,7.241030375162761,-6.909524738788605,-1.0195916791756947,0.0,0.0,1.6972446680068969,9.030799865722656,0.00028078224277116004,0.0,19.368860410933976,-122.7500578,49.19297906,-0.6842166131192987,0.43388610265471717,0.02675978399135849,0.08293016394600268,0.46760929748415947,1.1030443798411975,2.653930577364835,-40.36979942321777,32.376359367370604,-4.349299919605255,0.10850493425580983,3.828470654475192,-0.9026424818051358,-291.3945541381836,130.2215774536133,-126.16934623718262,-0.49742265542348224,1.9874854882558186,0.4041539827982586,3.417050505677859,-6.767600403710579,-1.199202979604403,0.00022907306750614975,-1.133180482313037,0.5494478146235148,3.8916717767715454,-8.739340702692667,-1.6680704740186532
3.3,5.444643607983987,-6.230586161216101,0.4935944527387621,0.0,0.0,1.6996494293212892,9.155200004577637,0.00025756072427604,0.0,19.00988287060548,-122.7500578,49.192979040000004,0.6946249008178711,-0.6093647678693136,-0.3377702186505,0.1525593940168619,1.557389775911967,1.2669970790545146,2.302776296933492,-38.67887878417969,34.21977920532227,-1.055299949645996,-1.7720946570237477,5.408040960629781,-2.5527803897857666,-268.45001525878905,136.6912384033203,-108.07247924804688,-1.6887100537618,-8.914541085561117,-11.428792377312979,-1.5989040583372116,-18.320945898691814,-13.899607519308725,0.3282178997993469,3.158692497014999,-1.3143987633287906,0.06700461357831955,-9.39065965016683,-2.535528540611267
3.4,3.6482568408052125,-5.551647583643596,2.0067805846532187,0.0,0.0,1.7020541906356812,9.279600143432617,0.00023433920578092,0.0,18.650905330276984,-122.7500578,49.19297902,0.629262422521909,-0.6478054076433182,-0.3638827055692673,0.1960525639976064,2.135431836048762,1.280138040582339,1.8320074528455734,-32.857039833068846,36.51337928771973,14.9693998336792,-1.134558418309704,2.4184479040629934,-1.1728971207683736,-260.08020515441893,139.16539840698243,-110.51095371246338,2.1446805036429204,-0.4302793054869678,-7.691261873100744,1.0382357658818364,-9.873996330862584,-9.405573965022057,-0.056530495484670006,4.703738689422607,-0.6188573992500702,-1.129246149212122,-9.427971825455174,-1.7790254706686195
3.5,0.3942718939347701,-13.418242427435787,-9.26169192520055,0.0,0.0,1.7044589519500732,9.404000282287598,0.0002111176872858,0.0,18.29192778994849,-122.7500578,49.192979,0.563899944225947,-0.6862460474173228,-0.38999519248803455,0.2395457339783509,2.713473896185557,1.2932790021101634,1.361238608757655,-12.82341959476471,41.83623924255371,25.053919410705568,-0.4970221795956604,-0.5711451525037939,0.20698614824901929,-251.71039505004882,141.63955841064453,-112.94942817687988,5.978071061047641,8.05398247458718,-3.953731368888508,3.6753755901008844,-1.427046763033352,-4.91154041073539,-1.7639242708683014,5.5892642339070635,-2.4165828625361123,-2.3254969120025635,-9.46528400074352,-1.0225224007259717
3.6,1.767301203626575,-7.742072805875178,-7.286380573994283,0.0,0.0,1.7044589519500732,9.514714513506208,0.00020998700347255714,0.0,18.29192778994849,-122.75005777142857,49.19297897142857,0.520459946809393,-0.5175521044117032,-0.30529500927888986,0.1720620172211166,1.7884556626280148,1.1664213940049664,2.0749896164193298,5.569299876689911,46.266059494018556,21.22921962738037,0.7753372513592087,-2.559174823490056,1.725493034517223,-267.9726902008057,134.5809425354004,-112.42055835723878,1.918792130933567,-0.40539432655681296,-4.588667437885746,2.580609367849926,-9.267465679101985,-6.287377103824507,-1.0525717089573543,0.6236425066987673,-0.7197519640127817,0.6390158397456007,-8.846325899615433,-1.7634230757301506
3.7,3.14033051331838,-2.065903184314569,-5.311069222788016,0.0,0.0,1.7044589519500732,9.62542874472482,0.00020885631965931428,0.0,18.29192778994849,-122.75005774285714,49.192978942857145,0.4770199493928389,-0.34885816140608356,-0.22059482606974512,0.10457830046388229,0.8634374290704727,1.0395637858997693,2.788740624081005,2.263099955022335,47.30305938720703,19.124719619750977,2.047696682314078,-4.547204494476318,3.243999920785427,-284.2349853515625,127.52232666015625,-111.89168853759766,-2.1404867991805077,-8.864771127700806,-5.223603506882985,1.4858431455989678,-17.107884595170617,-7.663213796913624,0.1220203310251236,-1.6815287709236144,0.9007513523101807,3.6035285914937654,-8.227367798487345,-2.5043237507343292
3.8,3.886896208922068,-16.72879166478912,-7.445666418721279,0.0,0.0,1.7044589519500732,9.73614297594343,0.00020772563584607143,0.0,18.29192778994849,-122.75005771428572,49.19297891428572,-0.9137561519940695,0.40283504128456116,-0.0006728104781359504,0.04199555035059647,0.0481496254603068,0.8287116090456644,3.02856437365214,-16.743279695510864,40.94197883605957,23.765599250793457,-0.33513594046235085,1.6320537440478802,-0.5685373718539873,-301.8889953613281,118.91461868286133,-133.3972381591797,-9.786474148432413,9.43543283144633,6.265809973080953,-3.140280564626058,2.2025932470957437,6.110870281855266,2.5443556110064187,-2.0570887525876365,4.734689235687256,6.623392105102539,-7.217094262440999,-0.2196531519293785
3.9,4.633461904525757,-31.39168014526367,-9.580263614654541,0.0,0.0,1.7044589519500732,9.84685720716204,0.00020659495203282857,0.0,18.29192778994849,-122.75005768571428,49.19297888571428,-0.0579533576965332,-0.051720851411422075,-0.1255466876318678,0.08925461916563407,0.4145023245364428,0.9700657154122989,2.9803288479646044,-40.47349872589111,24.392679595947264,18.70381968021393,-1.0668934940953148,2.9042558346621017,-1.5703274450744642,-293.7396987915039,123.8922176361084,-123.35206260681153,-7.557447317874793,1.4422347581747808,1.0018798293489395,-2.466225136861657,-6.478431477070307,-0.20810305169134402,1.5348243564367294,-7.023779471715291,1.9374100252365072,5.068420748819005,-7.9049208669951465,-1.2746963883665474
4.0,-1.7109180106781423,-2.809971404572328,-0.688883642355601,0.0,0.0,1.7044589519500732,9.95757143838065,0.0002054642682195857,0.0,18.29192778994849,-122.75005765714286,49.192978857142855,0.797849436601003,-0.5062767441074053,-0.25042056478559965,0.13651368798067168,0.7808550236125787,1.1114198217789333,2.932093322277069,-46.262398910522464,24.059619331359862,-0.2708400249481201,-1.7986510477282784,4.176457925276323,-2.572117518294941,-285.5904022216797,128.86981658935548,-113.30688705444337,-5.328420487317172,-6.5509633150967685,-4.262050314383074,-1.7921697090972553,-15.159456201236356,-6.527076385237954,-0.288379301627477,1.2385038435459137,-0.5368487363060316,3.51344939253547,-8.592747471549295,-2.3297396248037163
