time,qz,qy,qx,qw,roll,pitch,yaw
0.1297744140625,-0.16650724718476628,-0.3314515276827513,0.06919560426207216,0.2785862056683285,-0.40813207506616567,0.315652913210475,0.3591945481187403
0.147075439453125,-0.16580270881851933,-0.3409857467522689,0.0789219933218624,0.26908873706759695,-0.3899632147154146,0.29404726806465115,0.3871215218526986
0.16439111328125,-0.16540230430030736,-0.34969223614632394,0.08801568429258444,0.260046480260248,-0.3733681148650424,0.27417489953000085,0.41336365827443744
0.181674560546875,-0.16543959262877717,-0.35734114006044754,0.09640282454267328,0.25150534005911235,-0.3584679325776452,0.2563578018447873,0.4376112506285044
0.19898486328125,-0.1660305394490165,-0.3637125736741591,0.10401993344623305,0.24350137151349155,-0.3453317935756843,0.24090929137179004,0.4596032029930808
0.216291748046875,-0.16726954944230987,-0.36860287293538596,0.11081549848658322,0.23606058017604098,-0.3339765104779033,0.22812628216464811,0.4791342780373085
0.23357861328125,-0.16922612810526644,-0.3718304949795681,0.11675137818521049,0.22919891090102418,-0.32436761307280093,0.21828164052344634,0.49606047729841046
0.250890625,-0.17194227993446531,-0.3732413994053925,0.12180396753698844,0.2229224224218454,-0.3164216516008529,0.21161682103960996,0.5103023711498671
0.26818798828125,-0.17543072963298767,-0.37271375424525377,0.125965086138961,0.2172276414064186,-0.31000970023556146,0.20833498302401945,0.5218462674712283
0.28549560546875,-0.17967402971007476,-0.3701618286734519,0.12924255502038717,0.21210208628168048,-0.3049619562980886,0.20859477714799163,0.5307431838992956
0.3027822265625,-0.1846245923875434,-0.3655389567897727,0.13166043518520618,0.2075249479202078,-0.301073302101323,0.21250497780201974,0.5371056657871159
0.32009423828125,-0.19020565676592086,-0.3588394825781193,0.13325890889452374,0.2034679113549826,-0.2981096714990842,0.22012011743712406,0.5411025679132452
0.337394775390625,-0.19631317450608965,-0.35009962464095856,0.13409379354122877,0.19989610008981454,-0.2958150429060628,0.2314372554825632,0.5429519898981646
0.354697021484375,-0.2028185696510742,-0.3393972297369482,0.13423568736716152,0.19676912235307095,-0.2939188653138663,0.24639398694151804,0.542912620656267
0.3719970703125,-0.20957230146280706,-0.3268504156256684,0.13376875598820576,0.19404219684384608,-0.29214371407044537,0.2648677651726827,0.541273803717313
0.38930078125,-0.2164081340849218,-0.3126151353379316,0.13278917845155627,0.19166733417666368,-0.2902129691669305,0.2866765804796104,0.5383446808667204
0.406596923828125,-0.223147994234583,-0.2968817258207686,0.13140328107180393,0.18959454936830133,-0.2878583105733757,0.31158100182766574,0.5344428046262422
0.42388916015625,-0.22960727868570036,-0.2798705330484466,0.1297253962985758,0.18777308034372941,-0.28482683270010034,0.3392875542102646,0.529882629401989
0.44120068359375,-0.23560045766367355,-0.261826732284522,0.12787549208747087,0.18615258757301284,-0.28088759308494515,0.36945336982899585,0.524964295916186
0.458502197265625,-0.2409468089585434,-0.24301448543482157,0.12597662442441432,0.18468431058281354,-0.2758374285109735,0.401692018265056,0.5199631135665637
0.475805419921875,-0.2454761109909811,-0.22371059665114015,0.12415227156294854,0.18332215820049935,-0.269505894390084,0.43558039009672594,0.5151201208914783
0.493100830078125,-0.24903412151294915,-0.20419784194940319,0.12252361297845946,0.18202371096185277,-0.26175920972222666,0.4706664807944935,0.510634066137243
0.51040478515625,-0.25148767222709534,-0.1847581581462641,0.12120681886579439,0.18075111611190173,-0.25250311946522486,0.5064778979544894,0.5066550992896759
0.527695068359375,-0.2527292183503051,-0.16566588059429244,0.12031041709420502,0.17947185801098775,-0.24168461784913498,0.5425308956610787,0.5032804055526345
0.54500634765625,-0.2526806958583442,-0.1471812178648862,0.11993280382136268,0.178159389475703,-0.2292925091052848,0.5783397255278232,0.500551940230079
0.56230810546875,-0.2512965575100171,-0.1295441447092034,0.12015996144258721,0.17679361258105156,-0.2153568152862071,0.6134260851433607,0.49845634871276034
0.57960009765625,-0.2485658812959319,-0.11296888250294274,0.12106344325085056,0.17536120066480118,-0.19994707335897396,0.6473284414883729,0.49692707544286774
0.59691015625,-0.24451347109049504,-0.09763911929137138,0.12269867819783714,0.1738557566419271,-0.18316959461786475,0.6796110094809557,0.49584858513598024
0.614218505859375,-0.23919989828948282,-0.08370409998632751,0.12510364161665022,0.17227780618764751,-0.16516378779415122,0.7098721740833063,0.4950625410390709
0.631509521484375,-0.23272046427370396,-0.07127569185222732,0.1282979288794867,0.17063462781156635,-0.14609767223313644,0.7377521581409473,0.4943757114106598
0.648814697265625,-0.22520309575932235,-0.06042650189591783,0.13228225894740528,0.168939925252277,-0.12616272845780074,0.7629397569569151,0.4935693093962929
0.66611328125,-0.21680521753338383,-0.051189091984064315,0.13703842388845214,0.16721335090206738,-0.10556824976590848,0.7851779840200108,0.49240941547426637
0.683400390625,-0.207709678760741,-0.04355630536133533,0.1425296889875227,0.16547989205817126,-0.08453536977623943,0.8042684996772961,0.4906580877742811
0.700707763671875,-0.19811983902189984,-0.03748268568710932,0.1487016363592874,0.16376913462733886,-0.06329094676699358,0.8200747251300888,0.48808473553660897
0.71801611328125,-0.18825394756958705,-0.03288693771785875,0.15548343332840422,0.16211442142643495,-0.04206148611444158,0.832523577117994,0.48447731602831945
0.735306884765625,-0.17833897310599717,-0.02965534829379955,0.1627894955851999,0.1605519243717677,-0.021067277186555676,0.8416057931534354,0.4796529161003171
0.752613525390625,-0.1686040609026346,-0.027646058256922755,0.17052150457861112,0.15911965158969255,-0.000516910881271038,0.8473748522585136,0.4734672964438372
